stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,65.89,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,12.26,0,0,0,30.65,0,0,165.5,6.13,12.26,0,0,0,0,0,0
  7-9,26.29,2.63,28.92,0,0,0,2.63,0,0,42.06,7.89,97.26,0,0,0,0,0,0
 10-12,0,9.44,9.44,0,0,0,6.29,0,0,12.59,12.59,44.06,0,0,3.15,3.15,0,0
 14-21,0,0,0,2,0,0,0,1,0,1,0,0,1,5,0,2,0,1
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,1.15,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
