stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5,0,0,0,0,0,1,0,1,1,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,1.64,0.82,0,0,0,0,0,0,0.82,5.75,0,0,12.31,50.07,0,14.78,0,0,0.82,0,0,0.82,1.64,1.64,12.31,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0.81,2.42,0,0,0,0,0,0,0,3.22,0,0,0.81,82.98,0,12.89,0,0,0,0,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,8.61,0,0,4.59,0,0,0,0,0.57,0,0,4.02,0,0,0,131.4,0,10.33,0.57,0,0.57,0,0,0.57,0,0,27.54,0,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,20.61,0.98,0,6.87,0,0,0,0,0.98,0,0,3.93,0,0,0.98,303.29,0,12.76,0,0,1.96,0,0,0,0,0,31.41,0,0,0,0,0
 72-82,0,0,0,6.87,0.98,0,92.28,0,0.98,31.41,1.96,0,0.98,0,0,0,0,12.76,0.98,0,0,560.53,0,32.39,0.98,0,0.98,0,0,0,0.98,0,44.17,0,0.98,0.98,0.98,0.98
 84-94,0,1.06,0,3.19,1.06,0,60.54,0,0,23.36,1.06,0,0,0,5.31,1.06,0,5.31,1.06,1.06,0,329.23,0,19.12,1.06,0,2.12,0,0,0,0,0,24.43,1.06,0,0,0,0
 96-106,0,0,0,8.74,1.09,0,71.04,0,1.09,26.23,0,0,1.09,0,4.37,0,0,18.58,0,1.09,1.09,343.15,2.19,50.27,1.09,2.19,4.37,0,0,0,0,0,18.58,1.09,1.09,0,1.09,0
108-118,0,1.53,0,2.3,0.77,0.77,66.64,0,0.77,24.51,1.53,0.77,0,0,13.02,0,0.77,9.96,0,0,0.77,475.66,0.77,29.11,2.3,0,0.77,0,0,0,0,0,13.79,0,0.77,0,0,0
120,0,0,0,3.92,1.96,0,35.28,0,0,21.56,1.96,1.96,1.96,1.96,3.92,1.96,0,3.92,0,0,1.96,374.32,0,15.68,0,0,1.96,0,0,1.96,0,0,9.8,0,0,1.96,0,1.96
