stage,epidermis,eye,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,1,6,0,0,0,1,1,4,0,0,0
 24-34,0,1.64,0,1.64,0,0,0,0,0,0,2.46,0,0,0,0,0,4.93,0,0,0
 36-46,0.81,0,0,0.81,0,0,0,0,1.61,0,2.42,0,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,0,1.72,0,0,0,0.57,0,0.57,0,0,0,0,0,7.46,0,0,0
 60-70,0,0,0.98,2.94,0.98,0,0,0.98,0.98,0,0.98,0,0,0,0,0,6.87,0,0,0
 72-82,0,0,0,3.93,0.98,0,0,0,2.94,0,0,0,0,0,0,0,8.83,0.98,0.98,0
 84-94,0,1.06,0,5.31,3.19,0,1.06,0,1.06,0,1.06,0,0,0,0,0,13.81,0,0,0
 96-106,0,1.09,0,8.74,5.46,0,0,0,1.09,0,1.09,0,0,2.19,0,0,14.21,0,0,0
108-118,1.53,0,0,7.66,3.06,0.77,0,0,4.6,0.77,0.77,0,0,0,0,0,7.66,0,0,0.77
120,0,1.96,0,15.68,0,0,0,0,1.96,0,1.96,0,0,0,0,0,9.8,0,0,0
