stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,6,5,6,0,0,0
 24-34,0,0,0.82,0,5.75,0,1.64,0,3.28,0,0,0,0.82,0,0.82,0,0.82,0,29.55,0,0.82,0,0,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,4.83,0,0,0,0,0,0,0,0.81,0.81,60.43,0,0.81,0.81,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,3.44,0,0,0,1.15,0,0,0.57,1.15,0,64.27,0,2.87,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,5.89,0,0,0,0,0,0,0,6.87,0,71.65,0,0.98,0.98,0,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,0,0,0,8.83,1.96,9.82,0,0,0,0.98,0,0.98,0,6.87,0,133.51,0,2.94,0,0,0,0,0,2.94,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,6.37,1.06,6.37,1.06,0,0,2.12,1.06,0,0,3.19,0,71.16,0,10.62,2.12,0,0,0,0,4.25,0,0,0
 96-106,0,0,0,0,3.28,0,6.56,0,5.46,0,0,1.09,2.19,0,0,0,5.46,0,75.41,0,9.84,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0.77,0,1.53,0.77,3.83,0,4.6,0,0,0,1.53,0,0,0,2.3,0.77,117.19,0,6.89,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,1.96,0,3.92,0,166.58,0,1.96,0,0,0,0,0,0,0,1.96,0
