stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,1.64,0.82,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,2.42,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,0,4.59,0,0,1.15,0,0,0,7.46,0,1.72,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0.98,0,0,0,0.98,0,0,0,0,20.61,0,0,2.94,0,0.98,0,14.72,0,1.96,2.94,0,0,0,5.89,0,1.96,0,0,0
 72-82,0,0,0.98,0,5.89,0,0.98,0,2.94,0.98,0,0.98,0,0.98,0,39.27,0,0,29.45,0,0.98,0.98,37.3,0,0,0.98,2.94,0,0,3.93,0.98,1.96,0.98,1.96,0
 84-94,0,1.06,2.12,0,9.56,1.06,0,0,1.06,0,0,0,0,1.06,0,79.65,1.06,0,12.74,0,1.06,0,22.3,0,4.25,2.12,5.31,0,0,3.19,2.12,1.06,3.19,1.06,0
 96-106,0,5.46,4.37,2.19,19.67,1.09,2.19,0,8.74,3.28,0,0,4.37,1.09,1.09,120.21,3.28,1.09,41.53,2.19,7.65,2.19,63.39,1.09,13.11,8.74,6.56,0,0,4.37,1.09,4.37,7.65,1.09,1.09
108-118,0,7.66,0,1.53,11.49,0,0,0.77,5.36,0.77,0,0,0.77,2.3,0,94.21,2.3,0,51.32,0,1.53,0.77,50.55,0.77,3.06,2.3,8.43,0.77,0,0.77,2.3,1.53,3.83,2.3,0.77
120,0,7.84,0,0,15.68,0,0,0,7.84,0,0,0,1.96,1.96,0,60.75,0,0,25.48,0,0,0,45.08,0,5.88,3.92,0,0,0,1.96,0,0,1.96,1.96,0
