stage,blastomeres,endoderm,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0,0,2.94,0.98,0
 84-94,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,7.65,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0,0,3.83,0,0.77
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
