stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,11,5,4,0,0,6,0,0,0,0,12,0,4,59,1,1,2,1,0,9,4,7,42,1,0,0
 24-34,0,0,0.82,1.64,0,0,6.57,0.82,0,0,0,6.57,0,1.64,44.33,0,0.82,0.82,0,0.82,0,0.82,1.64,13.13,0,0,0.82
 36-46,0,0.81,0,15.31,0,0,0.81,0,0,0,0,8.06,1.61,0.81,46.73,0.81,1.61,0.81,0,0,0,0.81,0,15.31,0.81,0,0
 48-58,0,1.15,0,13.77,0,0,7.46,0,0.57,0.57,0,12.05,0,2.87,21.23,0,0,0.57,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,12.76,0.98,0,3.93,0,0,0,0,4.91,0,1.96,13.74,0,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,6.87,0,0.98,4.91,0,0,0,0,7.85,0,0.98,10.8,0,0,1.96,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,1.06,9.56,0,0,5.31,0,0,0,0,9.56,2.12,0,12.74,0,0,0,0,0,0,1.06,0,3.19,1.06,1.06,0
 96-106,0,0,0,6.56,0,0,5.46,0,0,0,1.09,10.93,2.19,2.19,12.02,0,0,4.37,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,4.6,0,1.53,4.6,0,0,0,0,4.6,0.77,1.53,13.79,0,0,1.53,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,11.76,0,0,0,0,0,0,0,0,0,1.96,0,0
