stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,pericytes,pronephros,spinal_cord
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,5.89,0.98,3.93,0,0,0,0
 72-82,0,0,1.96,3.93,0,0,0,0,0,4.91,0.98,5.89,0,0,0,0
 84-94,0,0,0,14.87,1.06,0,0,1.06,0,2.12,0,4.25,0,0,0,0
 96-106,0,0,0,14.21,0,0,0,0,1.09,17.49,1.09,5.46,0,1.09,0,0
108-118,0,0,0,22.21,0,0.77,0.77,1.53,0.77,10.72,0,7.66,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,13.72,0,3.92,0,0,0,0
