stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,67.43,815.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,18.4,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,144.58,10.51,0,0,105.15,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,28.32,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,9,2,2,0,2,1,0,0,0,0,2,0,0,21,2,0,1,1,0,5,1,4,7,0,0,0
 24-34,0,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,3.28,0,2.46,28.73,0,0.82,0,0,1.64,0,0,0,6.57,1.64,0,0
 36-46,0,0,0,0,0,0,4.83,0,0.81,0,0,0.81,0,0,1.61,0,0.81,8.06,0,0,0,0,1.61,0,0,0,4.03,0.81,0,0
 48-58,0,0,0,0,0,0,6.89,0,1.15,0,0,0.57,0.57,0,4.02,0.57,1.15,13.77,0,0,0,0,2.3,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,1.96,0,5.89,0.98,0.98,0,0,0,0,0,3.93,0,1.96,7.85,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0.98,0,4.91,0,1.96,8.83,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0,1.06,0,0,7.43,0,0,1.06,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,1.09,0,0,0,0,2.19,0,0,4.37,0,0,6.56,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0.77,0,1.53,0,0,0.77,0,0.77,3.83,0,0.77,6.13,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0
