stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0
 24-34,0,0,0,9.85,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,4.93,0,0,0,68.13,0,2.46,0,1.64,0,0
 36-46,0,0,0,7.25,0,2.42,0,0,0,0,2.42,2.42,0,0,0,0,0,0,0,0,6.45,0,0,0,38.67,0,2.42,0,0,0,0
 48-58,0,0,0,4.59,0.57,6.89,0,0,0,0,8.03,3.44,0,0,0,2.3,0,0,0,0,5.74,0,0,0,22.95,0,5.16,0,1.15,0,0
 60-70,0,0,0,5.89,0,10.8,0,2.94,0,0,14.72,0.98,0,0,0,0,0,0,0,0,5.89,0.98,0,0,28.46,0,4.91,0,0,0,0
 72-82,0,0,0,1.96,0,32.39,0,2.94,0,4.91,45.16,3.93,1.96,0,0.98,0.98,0.98,0,0,1.96,13.74,0.98,0,0,34.36,0,41.23,0,0,0.98,0
 84-94,0,0,0,11.68,0,79.65,1.06,3.19,0,1.06,65.85,5.31,0,1.06,0,1.06,1.06,0,0,0,11.68,0,0,0,92.4,1.06,92.4,1.06,1.06,1.06,0
 96-106,0,1.09,0,8.74,2.19,111.47,0,4.37,0,6.56,33.88,1.09,0,1.09,0,0,6.56,1.09,2.19,0,8.74,0,0,0,61.2,0,99.45,0,0,2.19,1.09
108-118,0,0,0,10.72,0,125.62,0,6.89,0.77,6.89,18.38,0,0,1.53,0.77,1.53,4.6,0,0,1.53,11.49,0,1.53,1.53,55.15,0,113.36,0.77,0.77,0.77,0
120,0,0,0,13.72,1.96,48.99,0,1.96,0,3.92,3.92,0,0,0,1.96,0,0,0,0,1.96,5.88,1.96,1.96,0,50.95,0,76.43,0,0,1.96,0
