stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,7,9,2,0,0,0,104,3,0,0,0,0,0,0,10,0,0,2,86,2,1,10,4,0,1,0,6,101,0,6,275,0,0,1,0,0
 24-34,0,0,2.46,0,2.46,0,0,1.64,96.86,0,0,0,0,0,0,0.82,11.49,0,0,3.28,123.13,0.82,3.28,4.93,0,0,3.28,0,0,56.64,0,4.93,234.76,0,0,0,0,0
 36-46,0,0,1.61,0,10.47,0,0,0.81,58.01,0.81,0.81,0,0,0,0,0.81,5.64,0,0,0.81,153.88,0.81,4.03,3.22,0,0,3.22,0,0,16.11,0,0,160.33,0,0,0,0,0
 48-58,0,0,1.15,0,21.23,0,0.57,0.57,53.36,0.57,0,0,0,1.72,0,0.57,5.16,0,0,1.15,149.76,0,4.59,5.16,0,0,0.57,0,0,5.16,0.57,0,134.84,0,0,0.57,0,1.72
 60-70,0,0,1.96,0,73.61,0,0.98,0,71.65,0.98,0,0,0,4.91,0,0,8.83,0,0,0.98,216.92,0,6.87,5.89,0,0,5.89,0,0,9.82,0,0,83.43,0,0,0.98,0,0
 72-82,1.96,0,1.96,1.96,117.8,0,0,0,115.84,2.94,0,0,0,12.76,0,0,16.69,0.98,0,0.98,233.64,0,13.74,19.63,0,0,1.96,0,0,5.89,0,0,60.86,0,0,0.98,0,0
 84-94,0,1.06,5.31,0,41.42,0,0,2.12,78.59,1.06,1.06,0,0,10.62,0,1.06,13.81,3.19,1.06,0,129.57,0,11.68,29.74,0,0,12.74,0,0,12.74,0,0,27.61,0,0,1.06,2.12,1.06
 96-106,1.09,4.37,4.37,0,38.25,0,1.09,0,71.04,6.56,0,1.09,0,32.79,2.19,0,9.84,2.19,0,1.09,121.31,0,20.76,30.6,0,0,10.93,0,0,7.65,0,0,37.16,0,1.09,5.46,1.09,0
108-118,3.83,1.53,3.83,0.77,37.53,0.77,0,1.53,58.21,4.6,0.77,0,1.53,19.92,0.77,0,9.19,1.53,0.77,3.83,120.26,0,19.15,22.98,0,1.53,5.36,0.77,0,9.96,0.77,0,26.04,0,0,1.53,0.77,1.53
120,0,0,3.92,1.96,35.28,0,0,0,27.44,1.96,1.96,1.96,0,15.68,0,0,9.8,1.96,0,0,135.23,1.96,13.72,17.64,0,0,3.92,0,0,11.76,0,0,33.32,3.92,0,0,0,0
