stage,axial,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,8,0,1,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,4.93,0,46.79,0,0.82,0,0,0.82,0,0,11.49,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0,81.37,0,0,0,0,0,0,0,20.14,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1.15,0,74.02,0,1.15,0,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,1.96,0,0,1.96,0,0.98,0.98,0.98,0,0,0,3.93,0,163.91,0,0,0,0,0,0,0.98,19.63,0,0,0,1.96,0.98
 72-82,0,0,6.87,0.98,0,14.72,0,0,2.94,1.96,0,0.98,0,3.93,3.93,199.28,0,0.98,0,0.98,0,0,0,12.76,0,4.91,0.98,6.87,0
 84-94,0,0,1.06,1.06,0,15.93,0,1.06,2.12,2.12,0,0,1.06,2.12,8.5,101.96,0,0,0,0,1.06,0,0,4.25,1.06,2.12,0,13.81,1.06
 96-106,0,0,7.65,3.28,1.09,7.65,0,0,0,4.37,0,0,0,1.09,5.46,86.33,0,2.19,0,0,1.09,0,0,2.19,0,6.56,0,33.88,1.09
108-118,0,0,1.53,2.3,0.77,9.19,0,0,3.83,0,9.19,0.77,0,3.06,5.36,109.53,0.77,1.53,0,0,0.77,0,0,5.36,0,0.77,0,12.26,0
120,0,0,0,3.92,3.92,5.88,0,0,1.96,0,1.96,0,0,0,5.88,123.47,0,0,0,0,0,0,0,9.8,0,1.96,0,35.28,0
