stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,15.77,0,0,0,0,5.26,0,0,0,0,0,0,0,52.57,2.63,0,0,28.92,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,59.79,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,0,4,10,0,0,3,0,0,0,0,0,0,0,3,1,71,0,0,0,1,0,0,4,0,1,20,0,0,0
 24-34,0,0,0.82,0,0,0,12.31,0,0.82,1.64,0,0,0,0,0,0,0.82,1.64,0,47.61,0,1.64,0,0,0,0,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,0,0,16.92,0,0,4.03,0,0,0,0,0,0,1.61,1.61,0,58.01,0.81,1.61,0,0,0.81,0,0,0,0,8.06,0,1.61,0
 48-58,0,0,0,0,0,0,30.99,0,1.15,13.2,0,0,0,0,0,0,1.15,1.72,0,35.58,0.57,1.72,0,0,0,0,0,0,0,12.05,0,0,0
 60-70,0,0,1.96,0,0,0,29.45,0,0,15.7,0,0,0,0,0,0.98,0,2.94,0,30.43,0.98,0.98,0,0,0,0,0,0,0,7.85,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,27.49,0.98,0,31.41,0.98,0,0,0,0.98,0,0,7.85,0,42.21,0,0.98,1.96,0,0,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,1.06,0,0,0,27.61,0,0,15.93,0,0,0,0,0,0,0,6.37,0,23.36,0,1.06,0,0,0,0,0,0,0,5.31,0,2.12,1.06
 96-106,0,0,0,0,1.09,0,22.95,1.09,1.09,18.58,0,0,3.28,1.09,0,0,0,4.37,0,25.14,0,3.28,0,0,0,0,0,0,0,2.19,0,1.09,0
108-118,0,0,1.53,0,0.77,0,20.68,0,0,20.68,0.77,0,3.06,0,0.77,1.53,0.77,5.36,0,26.04,0,1.53,0,0,0.77,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,1.96,0,7.84,0,0,21.56,1.96,0,0,0,0,0,0,9.8,0,25.48,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0
