stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0.81,0,0,0,11.28,0,0,0,0,0,0,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.87,0,1.15,0,0,0.57,0,0.57,0.57,0,0,12.05,0,0.57,0,0,0,0,0,2.87,0,3.44,0,0
 60-70,0,0,0,0,0,0,3.93,0,0,0.98,0,1.96,0,0,0,0,2.94,0,1.96,1.96,18.65,0,0,0,0.98,0,0,0,2.94,0,3.93,0,0.98
 72-82,0,0,0,0,0,0,12.76,0,0,4.91,0,11.78,0,0,0,0,8.83,0.98,0.98,0,23.56,0,0.98,0,7.85,0,0,0,5.89,0.98,4.91,0,0
 84-94,0,0,0,2.12,0,0,8.5,0,0,3.19,0,11.68,0,0,0,0,3.19,0,1.06,0,14.87,0,1.06,0,19.12,0,0,0,1.06,0,13.81,0,0
 96-106,0,0,0,8.74,2.19,1.09,6.56,0,0,1.09,1.09,21.86,2.19,0,0,1.09,17.49,0,4.37,2.19,25.14,0,1.09,1.09,39.34,0,0,0,0,0,4.37,3.28,1.09
108-118,0,0,0,8.43,0.77,0.77,6.13,1.53,0.77,5.36,2.3,18.38,3.83,1.53,1.53,0,10.72,0,1.53,0.77,22.98,0,0.77,0,42.89,0.77,0,0.77,1.53,0,9.19,0.77,0.77
120,0,0,0,5.88,0,0,1.96,1.96,0,3.92,1.96,13.72,3.92,3.92,0,0,3.92,0,1.96,3.92,19.6,1.96,0,1.96,80.35,0,0,0,3.92,0,7.84,0,0
