stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1330.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,931.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,21.03,0,13.14,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,336.48,5.26,0,0,328.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,3.15,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,258.05,9.44,0,0,110.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,13,1,0,5,0,0,2,2,0,0,0,2,0,0,6,0,0,5,85,2,5,0,2,0,13,1,1,1,9,50,0,0,1,0,0
 24-34,0,0,0,0.82,3.28,0,0,17.24,0.82,0,0.82,0.82,0,0,0,0.82,3.28,0.82,4.93,0,0,0,82.91,0,7.39,0,0,0,18.06,0,0.82,0,0,24.63,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,16.92,0,0,0.81,0.81,0,0,0,0,1.61,0,1.61,0,0,0,40.28,0.81,3.22,1.61,0,0,17.72,0,0,0,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,12.62,0,1.15,0,0,0,0,0,0,4.02,0.57,3.44,0,0.57,0,8.61,0,0.57,0,0,0,4.02,0,0.57,0,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,7.85,0,2.94,0,0,0,5.89,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,3.93,0,0,6.87,0,0,0,0,0,4.91,0.98,3.93,0.98,0.98,1.96,5.89,0,0.98,2.94,0,0,3.93,0,0.98,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,0,0,1.06,0,1.06,3.19,1.06,0,0,0,1.06,8.5,0,3.19,1.06,1.06,0,4.25,0,3.19,2.12,0,0,9.56,0,0,0,0,1.06,1.06,0,0,0,0
 96-106,0,0,1.09,0,4.37,2.19,0,5.46,1.09,0,1.09,1.09,0,1.09,1.09,2.19,18.58,1.09,7.65,0,1.09,1.09,3.28,0,4.37,1.09,0,0,8.74,0,0,0,0,0,2.19,0,2.19,0,1.09
108-118,0,0,0.77,0.77,3.83,0.77,0.77,3.83,2.3,0.77,0.77,5.36,0,0,0.77,0,8.43,0,4.6,0,0.77,0.77,4.6,0,1.53,0.77,0,0,9.96,0,2.3,0,0,0,0,0,1.53,0.77,0
120,0,0,0,0,5.88,1.96,1.96,3.92,0,0,0,5.88,0,0,0,1.96,7.84,0,1.96,0,0,0,9.8,1.96,1.96,0,0,1.96,11.76,0,3.92,0,0,0,0,1.96,0,0,0
