stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,7,3,0,1,0,3,1,1,0,0,1,0,0,5,0,0,4,89,0,2,0,4,1,11,0,5,25,1,0,1
 24-34,0,3.28,3.28,0,52.53,0,4.93,1.64,0,0,0.82,0,0,0.82,34.48,0,0.82,9.03,403.04,1.64,1.64,0.82,0,4.93,0,0.82,2.46,82.91,4.1,0,0
 36-46,0.81,4.83,1.61,0,133.74,0,5.64,0,0,0.81,0,0,0,0,23.36,0,0.81,4.03,282.79,0,4.03,0.81,0,0.81,0,0,0,57.2,2.42,0,0
 48-58,0,1.15,0,0,213.46,0,13.2,1.15,0,0,0,0,0,0.57,28.69,0,1.15,4.59,227.8,0.57,0,0.57,0,0.57,0.57,0,0,26.97,1.15,0,0
 60-70,0,3.93,0,0,109.93,0.98,7.85,0.98,0,0,0.98,0,0,0,22.58,0.98,0,0,92.26,0,0.98,0.98,0,0,0,0,0,6.87,0.98,0,0
 72-82,0,2.94,0,0,57.92,0,7.85,2.94,0,0,0,0.98,0,0,20.61,0,1.96,2.94,62.83,0,0,0,0.98,0,0,0,0,2.94,2.94,0,0
 84-94,0,5.31,3.19,0,24.43,0,3.19,1.06,0,0,0,0,0,1.06,8.5,0,1.06,4.25,22.3,0,2.12,1.06,0,1.06,0,0,0,2.12,1.06,0,0
 96-106,0,2.19,0,0,18.58,0,4.37,0,0,1.09,0,0,0,0,7.65,0,0,3.28,25.14,0,2.19,3.28,0,0,0,0,0,2.19,1.09,0,0
108-118,0,1.53,0.77,0.77,19.15,0.77,3.83,0,0,0,3.06,0.77,0.77,0.77,4.6,0,0.77,1.53,38.3,0,0.77,0.77,0,0,0,0,0,0.77,1.53,0,0
120,0,9.8,9.8,0,45.08,1.96,9.8,0,0,0,0,0,0,0,13.72,0,1.96,5.88,60.75,0,0,3.92,0,0,0,0,0,0,3.92,1.96,0
