stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,6,0,0,2,0,10,0,7,0,0,0,0
 24-34,0,0,0,0,9.85,0.82,0,0.82,0,2.46,0,0,0,0.82,0,0.82,0,4.1,1.64,0,4.1,6.57,2.46,0.82,0.82,0,22.16,0.82,16.42,0,0,1.64,0
 36-46,0,0,0,0,4.03,0,0,0.81,0,3.22,0.81,0,0,0.81,0,0,0.81,5.64,0.81,0.81,3.22,4.03,3.22,0,1.61,0,17.72,0,11.28,0,0,1.61,0
 48-58,0,0,0,0,4.59,0,1.15,0,0.57,4.02,0,0,0,0,0,0,0,8.03,0.57,0.57,1.72,2.87,0.57,0,0.57,0,7.46,0,7.46,0,0.57,0,0
 60-70,0,0,0.98,0,6.87,0,4.91,0.98,0,5.89,0,0,0,0.98,0,0.98,0,7.85,0.98,0,0,0,1.96,0,1.96,0,13.74,0,6.87,0,0,0,1.96
 72-82,0,0,0.98,0,4.91,0.98,9.82,0,2.94,9.82,0,0,0,0.98,0,1.96,0,8.83,0.98,0.98,0,1.96,0,0,1.96,0,6.87,0,1.96,0.98,0,0,0
 84-94,0,0,0,0,12.74,0,4.25,3.19,0,11.68,0,0,1.06,1.06,1.06,1.06,0,5.31,2.12,0,0,1.06,3.19,1.06,2.12,0,27.61,0,3.19,0,0,0,0
 96-106,0,0,0,0,4.37,0,1.09,1.09,0,6.56,0,2.19,0,0,0,0,0,3.28,1.09,0,1.09,3.28,0,1.09,3.28,0,16.39,0,0,0,0,0,0
108-118,0,0,0,0,9.96,0,0.77,3.06,0.77,4.6,0,0,0,0.77,0,0.77,0,2.3,0,0.77,0,1.53,0.77,0.77,4.6,0,12.26,0,0,0,0,0.77,0
120,0,0,0,0,5.88,0,0,5.88,0,7.84,1.96,0,0,1.96,0,1.96,0,3.92,1.96,0,3.92,1.96,3.92,1.96,0,0,29.4,0,0,0,0,0,0
