stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,10.51,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0,2.46,0,4.93,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,472.81,0,18.88,0,0,0,4.93,0,0,47.61,0,0,0,0,0
 36-46,0,0,0,1.61,0,13.7,0,0,1.61,0,0,0,0,0,0,0,0,0,5.64,0.81,0,0,1867.54,0,26.59,0,0,0,6.45,0,0,221.56,0,0,0,0,0
 48-58,0,0,0,7.46,0,77.46,0.57,1.72,17.79,0,0,0,0.57,0,0,1.72,0,1.72,19.51,0,0.57,2.3,2407.69,0.57,12.05,0,0,0,0.57,0,0,391.33,0,0,1.72,0,3.44
 60-70,0,0,0,2.94,0,88.34,0,0,11.78,0,0,0.98,0,0,0.98,0.98,0,0,15.7,0,2.94,0.98,2758.08,0,16.69,0,0,0.98,1.96,0,0.98,453.46,0,0,2.94,0.98,0.98
 72-82,0,0,0,11.78,2.94,147.25,0,2.94,30.43,0.98,0,0.98,0.98,0,0,0.98,0.98,0,26.5,0,0,2.94,1573.6,0,30.43,0,0,1.96,2.94,0,0,247.38,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,14.87,2.12,148.69,2.12,1.06,23.36,1.06,0,0,2.12,0,0,1.06,0,0,20.18,0,2.12,1.06,754.05,0,20.18,0,0,0,3.19,0,1.06,141.25,0,1.06,2.12,1.06,0
 96-106,0,0,0,12.02,0,91.8,0,1.09,20.76,1.09,0,0,0,0,1.09,0,0,0,14.21,0,0,1.09,522.38,1.09,28.41,1.09,0,1.09,2.19,2.19,1.09,51.36,0,0,1.09,0,1.09
108-118,0,0,0.77,10.72,0.77,56.68,0.77,0,12.26,0.77,0,0,0,0.77,0.77,0.77,0,0,6.89,0,0,3.06,566.05,0,19.92,0,0,0,0.77,0,0,26.04,0.77,0,0.77,1.53,0
120,0,0,0,13.72,1.96,86.23,5.88,0,19.6,0,0,0,0,0,0,0,0,0,9.8,0,0,0,676.13,0,17.64,0,0,0,0,0,0,21.56,0,0,1.96,3.92,0
