stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,15.77,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,1,2,0,0,0,4,4,1,0
 24-34,0,0,1.64,0,0.82,0,0,0.82,3.28,0,0,0.82,0,0,0.82,0.82
 36-46,0,0,0,0,1.61,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
