stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,2.63,0,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,425.85,0,0,0,42.06,7.89,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,3.15,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.28,0,0,0,28.32,6.29,3.15,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,94,94,0,36,0,1,0,0,1,25,1,3,4,1,2,0,1,1,0,0,29,0,2,17,1,68,0,5,0,0,6,5,0,0,15,0
 24-34,0,0,0,0,27.91,13.13,0,173.2,0,0.82,0,0,1.64,4.1,0,0.82,9.85,13.13,3.28,4.1,4.93,5.75,0,0.82,50.89,0.82,10.67,18.06,0,223.27,0,0,0,0.82,0.82,9.85,0,0,25.45,0
 36-46,0,0,0,0,11.28,0.81,0,143.41,0,0,0.81,0.81,0,0,0,0,0.81,2.42,0.81,0.81,1.61,0,0.81,0.81,24.98,0.81,3.22,4.83,0,87.01,0,0,0.81,0,0,3.22,0,0,1.61,0.81
 48-58,0,0,0,0.57,3.44,1.15,0,94.1,0,0,0.57,0,1.15,0.57,0,0,0.57,4.02,1.15,0,11.48,0.57,0,1.15,19.51,0,1.15,1.15,0,17.79,0,0,0.57,0,0,1.72,0,0,0.57,0
 60-70,0,0,0.98,0,2.94,0.98,0,81.47,0,0,0,0.98,0.98,0,0,0.98,0.98,1.96,0,0,24.54,0.98,0,0.98,4.91,0,0,3.93,0,7.85,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,4.91,2.94,0,67.73,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0,29.45,0,0,0,5.89,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0.98,1.96
 84-94,0,0,0,0,6.37,7.43,0,76.47,0,1.06,0,1.06,2.12,0,0,0,1.06,2.12,0,0,49.92,0,1.06,0,3.19,0,1.06,0,0,4.25,0,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,0,3.28,5.46,1.09,53.55,0,0,1.09,0,0,0,0,2.19,0,3.28,0,0,10.93,0,0,1.09,2.19,0,0,2.19,0,3.28,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,3.83,5.36,0,52.85,0.77,0,0,0.77,0,0,0,0,0,0.77,0.77,0,14.55,0.77,0.77,0.77,7.66,0.77,0,3.06,0,3.83,0,0,0,0,0,0,0,1.53,2.3,0
120,0,0,0,0,1.96,0,0,43.12,1.96,0,0,0,3.92,0,0,0,0,1.96,0,0,11.76,1.96,1.96,1.96,9.8,0,0,1.96,0,7.84,0,0,0,0,0,0,1.96,0,3.92,0
