stage,blastomeres,eye,fast_muscle,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,somites,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,1,0,0,4,1,0
 24-34,0,0,0,0,0,1.64,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,3.22,0,0
 48-58,0,0,0.57,0,0,0.57,0.57,0,0,2.87,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,3.93,0,0
 96-106,0,1.09,0,1.09,0,0,0,1.09,1.09,4.37,0,1.09
108-118,0,0.77,1.53,0,0,0,0,0,0,3.06,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0
