stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,2,0,0,0,2,1,0,1,0,50,0,0,0,0,5,2,0,2,24,1,0,1,0,0,0,0,50,1,1,16,0,0,0,0,0
 24-34,0,0.82,1.64,3.28,0,0,6.57,0,2.46,0,8.21,0,0,0.82,0,116.56,0,0,0,0.82,18.06,9.85,0,7.39,36.12,4.1,0.82,0.82,0,0,2.46,0,26.27,0,1.64,14.78,0,0,5.75,0,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,0,16.92,0,0,1.61,0.81,38.67,0.81,0.81,0,0,17.72,1.61,0,6.45,41.09,4.03,0,0,0,0,3.22,0,17.72,0,0,16.11,0,0,4.83,0,0
 48-58,0,0,0,1.72,0,0,7.46,0,0,0,20.66,0.57,0.57,1.72,1.72,22.38,0,0,0.57,0,14.35,2.87,0,3.44,22.38,2.3,0,1.72,0.57,0,0.57,0,9.75,1.15,0,13.77,0,0.57,6.31,0,0
 60-70,0,0.98,0,3.93,0,0,19.63,1.96,0.98,0.98,37.3,0,0,2.94,3.93,25.52,1.96,0.98,0,0.98,47.11,2.94,1.96,6.87,12.76,2.94,0,3.93,0,0.98,2.94,0,10.8,0.98,0,4.91,0,1.96,11.78,0,1.96
 72-82,0,0,0,0.98,0,0,19.63,0,0.98,0.98,39.27,4.91,0,0.98,2.94,42.21,0,1.96,0,0.98,49.08,0,0.98,3.93,26.5,0.98,0,5.89,0,2.94,0,0,9.82,0,0,2.94,0,2.94,22.58,0.98,0
 84-94,0,1.06,0,5.31,0,0,20.18,1.06,2.12,1.06,33.99,3.19,0,0,4.25,57.35,2.12,2.12,1.06,2.12,39.3,1.06,2.12,1.06,21.24,7.43,0,4.25,0,0,3.19,0,15.93,0,0,6.37,0,3.19,12.74,2.12,1.06
 96-106,0,0,0,10.93,2.19,0,12.02,3.28,0,1.09,25.14,2.19,0,2.19,5.46,59.01,1.09,2.19,0,0,30.6,3.28,2.19,3.28,19.67,0,0,3.28,0,4.37,4.37,0,12.02,0,0,6.56,1.09,2.19,18.58,2.19,0
108-118,0,0.77,0,4.6,0.77,2.3,14.55,1.53,0,0,20.68,3.06,0,4.6,3.06,55.92,3.83,0.77,3.06,0,26.04,5.36,2.3,3.06,13.79,4.6,0,3.83,0,0,2.3,0,17.62,0.77,0,1.53,0,0.77,11.49,1.53,0.77
120,0,0,0,11.76,3.92,0,1.96,0,1.96,1.96,27.44,0,0,1.96,3.92,31.36,1.96,1.96,1.96,0,23.52,0,3.92,0,19.6,5.88,1.96,5.88,1.96,1.96,3.92,1.96,21.56,1.96,0,1.96,0,3.92,23.52,0,0
