stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,17.79,0,0,0,0,0,0.57,0,0,0,0,1.15,0,0,12.05,0,0,0,0.57,0,1.15,0,0,0,0
 60-70,0,0,304.27,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,14.72,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,4.91,0.98,1059.21,0,0,1.96,17.67,0,0,0.98,0,0,0,13.74,0.98,3.93,55.95,0,0,0,1.96,0,4.91,0,0.98,0,0
 84-94,8.5,2.12,881.49,0,2.12,0,14.87,0,1.06,0,0,0,0,9.56,0,1.06,48.85,0,0,0,0,0,3.19,2.12,0,1.06,0
 96-106,10.93,4.37,1005.42,2.19,1.09,1.09,22.95,1.09,4.37,0,1.09,0,2.19,12.02,1.09,1.09,53.55,1.09,1.09,0,5.46,1.09,1.09,0,0,1.09,1.09
108-118,3.83,0,698.56,0,0,1.53,6.89,0.77,0,0,0.77,0,1.53,12.26,0.77,0,39.06,0.77,0,0.77,3.06,0,0.77,0,1.53,0.77,0
120,3.92,0,554.62,0,0,0,13.72,0,1.96,1.96,0,1.96,0,1.96,0,1.96,54.87,0,3.92,1.96,5.88,0,0,0,0,0,1.96
