stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,1462.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,0,8,1,0,1,0,0,3,1,22,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0.82,0,0,2.46,1.64,0.82,1.64,5.75,0.82,0,0,0,1.64,1.64,13.95,0,1.64,0,0,0,1.64,0,14.78,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0.81,3.22,0,0,0,2.42,4.03,0,18.53,0,0,0,0,0,0,0,4.03,0,8.06,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,1.72,0.57,0.57,1.15,0.57,0,0,0,1.15,4.59,0,25.25,0,0.57,0,0,0,0,0,4.02,0,4.02,0.57
 60-70,0,0,0,0,0.98,0,0,1.96,0.98,0.98,0.98,9.82,0.98,0,0.98,0,0,0,0,1.96,7.85,0.98,35.33,0,0,0,0,0,0,0,4.91,0,1.96,0
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,14.72,6.87,0,2.94,0.98,0.98,0,0,1.96,9.82,0.98,36.32,0,0.98,0,0,0,0,0,4.91,0,1.96,0
 84-94,0,0,1.06,0,2.12,1.06,2.12,4.25,0,0,0,10.62,15.93,0,8.5,0,0,0,0,3.19,8.5,0,22.3,0,2.12,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,0,0,0,1.09,4.37,0,0,1.09,3.28,9.84,0,7.65,0,0,2.19,1.09,1.09,9.84,0,30.6,0,0,0,0,0,0,0,5.46,2.19,3.28,0
108-118,0,0,0,0.77,0.77,0.77,2.3,0,0,0,0,6.89,16.85,0,12.26,0,0,0,0,3.06,9.96,0,30.64,0,0.77,0,0,0,0.77,0,2.3,4.6,1.53,0
120,0,0,0,0,3.92,0,0,7.84,0,0,1.96,7.84,19.6,0,1.96,0,0,0,0,1.96,0,0,33.32,0,1.96,0,0,0,0,0,0,9.8,0,0
