stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.63,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,15.77,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,141.19,0,0,0,0,0,0,30.37,0,0,0,0
 36-46,0,0,0,1.61,0,8.86,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,414.11,0,0.81,0.81,0,0,3.22,59.62,0,0,0,0
 48-58,0,0,0,2.87,0,124.52,0,0,0,4.59,0,0,0,0,0,0,0,0,3.44,0.57,1.72,728.73,0,0,0,0,0,2.3,68.28,0,1.15,0,1.15
 60-70,0,0,0,1.96,1.96,656.64,0.98,0,0,8.83,0.98,0,1.96,0,0.98,0,0,0,3.93,0,0.98,1399.65,0,0,0,0,0,1.96,90.3,0,0.98,0,0
 72-82,0,0,0,9.82,2.94,960.07,0.98,0.98,1.96,43.19,0.98,0,1.96,0,0,0.98,1.96,0,18.65,0,1.96,1403.78,0,0.98,3.93,0,0.98,3.93,62.83,0.98,1.96,0.98,0.98
 84-94,0,0,0,18.05,1.06,583.06,1.06,0,1.06,43.54,0,0,1.06,1.06,1.06,1.06,0,1.06,16.99,1.06,2.12,733.87,1.06,0,4.25,0,0,5.31,36.11,0,0,1.06,1.06
 96-106,0,0,0,7.65,2.19,534.4,0,0,1.09,31.69,1.09,1.09,2.19,0,1.09,1.09,1.09,0,16.39,1.09,1.09,634.94,0,0,1.09,0,0,3.28,22.95,0,5.46,0,0
108-118,0,0,0,9.96,1.53,363.83,0.77,0.77,0,26.81,0,0,0.77,0,0,0,0.77,1.53,14.55,0.77,0.77,635.75,0.77,0,0.77,0,0,2.3,15.32,0.77,3.06,0.77,1.53
120,1.96,0,0,11.76,1.96,317.49,0,0,0,17.64,0,0,1.96,0,1.96,0,0,1.96,11.76,0,3.92,844.67,0,3.92,1.96,0,0,1.96,29.4,0,5.88,0,0
