stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,3,0,4,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,1.64,0.82,0.82,0.82,0,0,0,0,0,0,0,4.1,0,2.46,33.66,0.82,0,0,0,0,0,0,7.39,0,2.46,0,0
 36-46,0,0,0,0,0,0,8.06,0,0.81,4.03,0,0,0,0.81,0,0,0,6.45,0,0.81,29,0,0,0,0,0.81,0,0.81,4.83,0,0,0,1.61
 48-58,0,0,0,0,0,0,10.9,0,0,1.15,0,0,0,0,0,0,0,5.16,0,0.57,22.95,0,0,0,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0.98,0,0,0,21.59,0,0,1.96,0,1.96,0,0,0.98,0,0.98,11.78,0,0.98,29.45,0.98,0.98,0,0,0.98,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0.98,3.93,24.54,0,0,5.89,0,0,0,0,0,0.98,0,10.8,1.96,0,31.41,0,0,0,0,0.98,0,0,3.93,0.98,1.96,0,0
 84-94,0,0,0,0,0,0,12.74,1.06,0,6.37,0,0,1.06,0,1.06,0,0,7.43,1.06,0,9.56,1.06,0,0,0,1.06,0,0,6.37,0,1.06,0,0
 96-106,0,0,1.09,0,0,0,12.02,1.09,0,1.09,0,0,1.09,0,1.09,0,0,4.37,0,2.19,14.21,0,0,0,0,0,0,0,4.37,1.09,2.19,1.09,0
108-118,0,0,0,0,4.6,0.77,9.19,2.3,0.77,5.36,0,0.77,0,0,0,0,0,7.66,0.77,2.3,12.26,0,0.77,0,0,1.53,0,0,0.77,0,0,0,0.77
120,0,0,0,0,5.88,1.96,3.92,0,0,3.92,0,0,0,0,0,1.96,0,13.72,0,0,13.72,1.96,1.96,0,1.96,1.96,0,0,0,0,3.92,1.96,0
