stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0
 24-34,0,0,0,3.28,1.64,6.57,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,36.94,0,5.75,0.82,0,0,1.64,0,0,0.82,7.39,0,0,4.93,0,0
 36-46,0,0,0,0,0,15.31,0,0,0,2.42,0,0,0.81,0,0,0,0,0,1.61,2.42,0,0,0.81,49.15,0.81,0,0,0,0,1.61,0,0,0,8.06,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,22.38,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0,4.02,0,0.57,1.15,43.04,0,2.3,0,0,0,0.57,0.57,0,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,0,0,230.66,0,0.98,0.98,5.89,0,0,0,2.94,0,0,0,0,0,7.85,0,0.98,0.98,50.06,0,0.98,0,0,0,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0.98,4.91,0.98,856.01,0,0,0.98,3.93,0,0,0.98,4.91,0,0,0.98,0,0,14.72,0,0.98,2.94,64.79,0,4.91,0.98,0,0.98,1.96,0,0,0,3.93,0,0.98,0,0.98,0.98
 84-94,0,0,0,10.62,0,914.41,1.06,0,0,5.31,1.06,0,0,5.31,0,0,0,0,1.06,14.87,0,0,1.06,39.3,1.06,4.25,2.12,0,0,4.25,0,0,0,1.06,0,0,4.25,0,2.12
 96-106,0,0,0,4.37,2.19,769.36,1.09,0,0,5.46,1.09,0,1.09,3.28,0,1.09,1.09,0,0,9.84,1.09,1.09,1.09,39.34,0,3.28,2.19,0,0,8.74,0,1.09,0,2.19,1.09,0,1.09,1.09,0
108-118,0,0,1.53,5.36,1.53,551.49,0,1.53,0,5.36,0.77,0,0,3.83,3.06,0.77,0,0,0,13.79,0,0.77,2.3,57.45,0,3.06,4.6,0,0,3.83,0,0,0,0,0,1.53,0,0.77,0.77
120,0,0,0,9.8,1.96,558.54,0,3.92,0,0,0,0,0,3.92,1.96,0,0,1.96,0,9.8,0,0,3.92,39.2,0,3.92,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0
