stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2,0,0,1,0,20,0,0,0,0,0
 24-34,0,0,2.46,1.64,0,0,2.46,0,0.82,0,0.82,0,2.46,0,0,0,0,0,2.46,0,1.64,207.68,0.82,22.16,0,0,0,1.64,66.49,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,11.28,0,0,0,9.67,0,0.81,0,0,0,0,0,1.61,0,0,579.28,3.22,32.23,0.81,0,0,0,128.1,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,56.81,0,0,2.3,29.84,0,0.57,0,0,0.57,0,0,10.9,0,2.3,837.18,1.72,29.84,1.15,0,0.57,0,135.99,0,1.15,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,230.66,0,0,0.98,28.46,0,0.98,0.98,0,0,0,0,8.83,0,2.94,1270.09,0.98,20.61,0,0,0,0,154.1,0,5.89,0,4.91,0.98
 72-82,0,0,0,3.93,0,0,400.52,0,0,4.91,37.3,0,0.98,0,0.98,0.98,0.98,0.98,25.52,6.87,1.96,1171.12,0,44.17,0,3.93,0.98,0,112.89,0,18.65,0.98,17.67,1.96
 84-94,0,0,0,6.37,1.06,0,206.04,0,1.06,2.12,25.49,1.06,2.12,0,0,0,0,0,10.62,1.06,2.12,497.03,0,59.47,1.06,0,3.19,0,50.98,2.12,13.81,0,13.81,0
 96-106,0,0,0,9.84,5.46,1.09,237.15,1.09,0,1.09,28.41,1.09,1.09,0,1.09,1.09,0,1.09,30.6,4.37,6.56,446.97,0,101.63,0,9.84,8.74,0,19.67,2.19,28.41,0,30.6,0
108-118,0,0,0.77,6.13,2.3,0,160.09,0,0,0.77,26.04,0.77,0.77,0.77,0,6.13,0,0,10.72,1.53,1.53,579.07,1.53,65.11,0,5.36,0.77,0,22.21,2.3,16.85,0,19.92,0
120,0,0,0,3.92,1.96,0,97.99,1.96,0,0,23.52,0,0,0,0,5.88,1.96,0,11.76,1.96,1.96,450.75,0,37.24,0,3.92,0,0,27.44,0,19.6,1.96,17.64,0
