stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,43,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,24,0,1,0,0,0,1,25,0,1,0,0,1,0,0
 24-34,0,0,0,116.56,0,0,0,1.64,0.82,0.82,0,11.49,0,0,0,2.46,3.28,0,0,9.85,0.82,5.75,5.75,0,0,0.82,0,13.95,0.82,4.1,0,0,35.3,0,0.82
 36-46,0,0,0,69.29,1.61,0,0,0,0,0,0,12.89,0,0,0,0.81,0,1.61,0,12.09,0.81,4.83,1.61,0,0,1.61,0,8.06,0,1.61,0,0,37.87,0,0
 48-58,0,0,0,38.44,0,0,2.3,2.3,0,0,0,21.23,0,0,0,1.15,0.57,2.3,0.57,8.03,0,2.87,0.57,0,0.57,0,0,1.72,0.57,2.3,0,0.57,47.63,0,0
 60-70,0,0,0,28.46,0.98,0,2.94,0.98,0,0.98,1.96,19.63,0,0,0,0.98,0,3.93,0,10.8,0,1.96,0,0,0,0.98,0,3.93,0,1.96,0,3.93,32.39,0.98,0
 72-82,0,0,0,36.32,0.98,0,2.94,0.98,0.98,0,0.98,24.54,0,0.98,0,5.89,0,0,0,5.89,0.98,4.91,0,0,0.98,0,0,2.94,0,0,0,4.91,78.53,0.98,0.98
 84-94,0,0,0,80.71,0,0,0,2.12,0,0,3.19,16.99,0,1.06,0,4.25,1.06,2.12,0,5.31,0,1.06,0,0,0,2.12,0,1.06,0,1.06,0,3.19,79.65,1.06,0
 96-106,0,1.09,0,115.84,0,0,4.37,2.19,2.19,0,5.46,36.06,0,12.02,0,10.93,0,2.19,0,12.02,0,8.74,0,0,1.09,2.19,0,5.46,0,0,1.09,1.09,100.54,1.09,0
108-118,0.77,0.77,0,78.89,0,0.77,1.53,3.83,0.77,0.77,1.53,11.49,0.77,15.32,0.77,5.36,0,4.6,0,6.89,0,4.6,2.3,0,0,1.53,0,5.36,0,0,3.06,0,67.4,2.3,0
120,0,0,0,50.95,0,0,3.92,1.96,0,0,3.92,15.68,0,0,0,0,0,0,1.96,5.88,0,1.96,0,0,0,1.96,0,9.8,0,0,0,1.96,45.08,3.92,0
