stage,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,1.64,0,9.85,0,0.82,0,0,0,0.82,0,0,3.28,0,0,0
 36-46,0,0,3.22,0,1.61,0,0,0,0,1.61,0.81,8.86,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,3.44,0,0.57,0,0,0,0,1.15,0,8.03,0,0,0,0,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,8.83,0.98,3.93,0,0,0,0,7.85,0,11.78,0,0,0,0,0.98,0,0,0,1.96,0,0,0.98
 72-82,0.98,0,5.89,0,0.98,0,0,0,0,1.96,0,9.82,0,0.98,0,0,0,0,0.98,0,0,0,0,0
 84-94,1.06,0,7.43,0,2.12,0,1.06,0,0,1.06,0,3.19,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,1.09,1.09,5.46,0,1.09,0,0,0,0,2.19,0,4.37,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,3.83,0,0.77,1.53,0,0,0.77,1.53,0,2.3,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
