stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,4.93,0,0.82,100.97,0,0,0,0,18.88,0,0.82,0
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,186.92,0,0,0,1.61,20.14,0,1.61,0
 48-58,0,0.57,0,9.18,0.57,0.57,9.18,0,0.57,0,0,0,0,0,4.02,0,0.57,316.74,0.57,0,0,0.57,21.23,0,0.57,0.57
 60-70,0,0.98,0,15.7,0,0,8.83,0,0,0,0,0,0,0.98,4.91,0,0,423.04,0.98,0,0,0.98,39.26,0,0,0
 72-82,0,2.94,0.98,47.12,0,0,39.27,0,0,0.98,0,0,0,0,17.67,0,0.98,469.23,0,0,0,0,44.17,0.98,1.96,2.94
 84-94,0,0,1.06,22.3,0,0,21.24,1.06,0,1.06,1.06,0,1.06,0,7.43,1.06,0,262.32,0,0,0,1.06,23.36,0,0,0
 96-106,0,5.46,0,27.32,0,0,18.58,0,0,1.09,0,0,0,0,4.37,0,1.09,180.32,0,0,0,3.28,10.93,0,0,0
108-118,0,2.3,0.77,16.09,0,0,20.68,0,0,0.77,0,0.77,1.53,0,3.83,0,1.53,304.09,0,0.77,0,1.53,12.26,0,0,0
120,0,3.92,0,11.76,0,0,7.84,0,1.96,0,0,1.96,0,0,5.88,0,3.92,297.89,0,1.96,0,1.96,5.88,0,0,0
