stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,1,0,2,0,0,0
 24-34,0,2.46,0,0,0.82,0,0,0,0,0,0,19.7,0,0,0,0,1.64,0.82,0,0.82,13.13,0,0,0,0,5.75,0,0.82,8.21,0,0
 36-46,0,0.81,0,1.61,0,0,0,1.61,0,0,0,17.72,0,0,0,0,0.81,2.42,0,0.81,12.89,0,0.81,0,0,0.81,0,0,2.42,0,0
 48-58,0,1.15,0,5.74,0,0,0,1.15,0,0,0,12.05,0.57,0.57,0,0.57,2.87,1.72,0,0.57,10.33,0,0,0,0,1.15,0,0,3.44,0.57,0
 60-70,0,5.89,0,10.8,0,0,0,0,0,0,0.98,8.83,0.98,0,0,0,5.89,0,0,0,16.69,0,0,0,0.98,2.94,0,0,0.98,0,0
 72-82,0,6.87,1.96,6.87,0,0,0,6.87,0.98,0,0.98,24.54,0,0,0,0,26.5,0,0,0,16.69,0,0,0.98,0,3.93,0.98,0,3.93,0,0
 84-94,0,10.62,0,7.43,0,0,0,3.19,0,1.06,0,40.36,0,0,0,0,8.5,2.12,0,1.06,8.5,0,1.06,1.06,0,8.5,0,0,1.06,1.06,0
 96-106,0,29.51,2.19,9.84,0,2.19,1.09,2.19,1.09,0,1.09,53.55,4.37,0,2.19,0,20.76,2.19,0,1.09,19.67,0,3.28,1.09,1.09,10.93,0,0,0,0,0
108-118,0,22.21,0.77,6.89,0.77,1.53,0,5.36,0,0,0.77,73.53,3.83,0,0,0,6.13,4.6,0,0.77,6.89,1.53,0,0,0,3.83,0.77,0,0.77,0.77,0.77
120,0,23.52,0,3.92,0,3.92,0,1.96,3.92,0,0,39.2,0,0,0,0,3.92,0,1.96,0,21.56,0,3.92,0,0,5.88,0,0,0,1.96,0
