stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,355.8,4006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,257.44,3414.21,0,12.26,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,110.33,6.13,0,0,18.39,104.2,0,0,0,0,0,0,0,0,0
  7-9,34.17,18.4,0,31.54,0,0,0,70.98,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,672.95,18.4,0,0,157.72,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,28.32,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,1,0,0,0,0,1,3,0,1,6,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,20.52,0,3.28,0.82,0,0,0,0,0,0,8.21,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0.81,24.98,0,4.03,0,0,0.81,0.81,0,0,0,13.7,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,4.02,0,0,0,2.87,0,0.57,0,0,0.57,0,0.57,0,0.57,9.18,0,0.57,1.72,17.21,0,4.59,0,0,0.57,0,0,0,0,7.46,0,0.57,0,0
 60-70,0,0,0.98,0,0,0.98,0,19.63,0,0.98,0,5.89,0,0,0,0,0,0,0,0,0,7.85,0,0.98,0,30.43,0,5.89,0,0,1.96,0,0,0,0,2.94,0.98,1.96,0.98,0
 72-82,0,0,0,0,1.96,1.96,0,3.93,1.96,0,0,4.91,0,0,0,1.96,0.98,0,0.98,0,0,26.5,0.98,0,0,26.5,0,16.69,0.98,0,5.89,0,0,0,0,1.96,0,0.98,0,0.98
 84-94,0,0,0,1.06,4.25,3.19,0,8.5,0,2.12,0,2.12,3.19,0,2.12,5.31,1.06,0,1.06,0,0,5.31,2.12,0,1.06,20.18,0,9.56,0,0,25.49,0,0,1.06,0,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,1.09,0,8.74,5.46,0,13.11,0,2.19,0,5.46,6.56,0,0,5.46,2.19,0,0,2.19,0,5.46,1.09,2.19,0,8.74,0,13.11,4.37,0,16.39,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,3.83,2.3,0,9.96,0,0.77,0.77,6.89,3.06,0,0,2.3,2.3,0.77,1.53,0,0,6.13,0.77,2.3,0,13.79,0,5.36,1.53,0,17.62,0,0,0,0,0,0,4.6,1.53,1.53
120,0,0,0,0,1.96,3.92,1.96,9.8,3.92,0,0,3.92,3.92,0,0,1.96,3.92,0,0,3.92,1.96,9.8,0,1.96,1.96,13.72,0,7.84,0,0,15.68,0,0,1.96,0,0,0,0,0,0
