stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,790.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,0,26.29,0,0,97.26,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,533.63,15.77,0,0,168.24,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,9.44,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.02,6.29,0,0,138.47,0,0,6.29,6.29,9.44,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,13,2,6,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,86,0,1,3,3,0,0,1,12,0,0,12,43,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0,16.42,0,0,0,4.1,0,0,0,0,0,0.82,0,1.64,0,8.21,0,0.82,3.28,105.89,0,0,2.46,0,0,2.46,0,0,0,0,3.28,27.09,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,20.14,0,0,0,0.81,1.61,0,0,0.81,0,0,0,0,0,8.86,0,0,4.03,78.15,0.81,1.61,0.81,0,0,2.42,0,0,0,0,0,21.75,0,0,0,0,0
 48-58,0,0,0.57,0,4.59,0,39.02,0.57,0,0,9.18,1.15,0,1.15,0,0,0,0,0.57,0,16.64,0,0,4.02,90.09,0.57,0,0,0,0,1.72,0,0,0.57,0,0,18.36,0,0,1.15,0,1.15
 60-70,0,0,0.98,0,0.98,0,21.59,1.96,0.98,0,4.91,0.98,0,0,1.96,0,0,0,0,0,8.83,0.98,3.93,4.91,83.43,0.98,0,0,0,0,0.98,0,0,0,0,0,6.87,0,0.98,0,0,0
 72-82,0,0,0,0,3.93,0.98,34.36,0,0,0,19.63,1.96,0,0.98,0.98,0,0.98,0,0,0,18.65,0,0.98,5.89,78.53,0,0,0,0,0,3.93,0,0,0,0,0,7.85,0,0.98,2.94,0,1.96
 84-94,0,0,0,1.06,3.19,2.12,9.56,0,0,0,14.87,0,0,0,1.06,0,0,0,0,0,10.62,0,0,1.06,28.68,1.06,0,1.06,0,0,11.68,0,0,1.06,0,0,4.25,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,0,14.21,0,0,2.19,16.39,0,0,1.09,2.19,0,0,1.09,0,0,16.39,0,0,4.37,34.97,0,2.19,3.28,0,1.09,10.93,0,0,1.09,0,0,1.09,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0.77,4.6,3.06,6.89,0,0.77,0,18.38,0.77,0,0,0.77,2.3,0.77,0,0.77,1.53,6.13,0,1.53,0.77,28.34,0,0,3.06,0,0,9.19,0,0,0,0,0,0.77,0.77,1.53,1.53,0,0.77
120,0,0,0,0,9.8,0,9.8,0,0,1.96,7.84,1.96,0,0,1.96,0,0,0,1.96,1.96,3.92,1.96,1.96,1.96,45.08,0,1.96,1.96,0,1.96,9.8,0,0,0,1.96,0,0,0,1.96,1.96,0,1.96
