stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,59.79,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,0,12,0,0,0,3,0,1,0,0,9,0,0,1,0,1,0,0,1,70,3,7,3,0,0,2,2,0,0,2,21,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,32.01,0,0,0.82,4.93,0,0,0,0,49.25,0,3.28,0,0.82,4.93,4.93,0,1.64,176.48,0,81.26,9.85,0,2.46,0,0,0,0,0.82,44.33,0,0,1.64,0,1.64
 36-46,0,0,0.81,0,2.42,0,0,41.09,0,1.61,0,20.95,0,0,0,0.81,27.39,0,3.22,0,0.81,3.22,7.25,0,1.61,165.16,0,66.87,4.83,0,1.61,0.81,0,0,0,0,35.45,0,0,0.81,0,1.61
 48-58,0.57,0,0.57,0,3.44,0,0,35,0.57,0,0,88.94,0.57,0,0.57,0.57,15.49,1.15,1.72,0,1.15,5.16,3.44,0.57,1.72,117.63,0,49.35,4.59,0,1.15,0,0,0.57,0,0,36.72,0,0,0,0,0.57
 60-70,0,0,0.98,0,6.87,0,0,146.25,0,0,1.96,314.09,1.96,0,0,0,14.72,0,3.93,0,1.96,7.85,0.98,0,0.98,96.19,0,41.22,5.89,0,0.98,0,0,0,0,0,34.35,0,0,0,0,2.94
 72-82,0,0,5.89,0,10.8,1.96,0,616.48,0.98,0.98,1.96,664.59,14.72,0,0.98,3.93,57.92,2.94,21.6,0.98,0,33.38,5.89,0,3.93,154.12,0,84.42,7.85,0,2.94,0,0,0.98,0,0,27.49,2.94,1.96,4.91,3.93,0.98
 84-94,0,0,6.37,0,19.12,0,0,670.15,1.06,0,0,422.69,9.56,0,0,6.37,61.6,3.19,13.81,1.06,0,19.12,4.25,2.12,5.31,93.46,1.06,83.9,8.5,0,1.06,0,0,0,0,0,20.18,2.12,0,6.37,1.06,1.06
 96-106,0,0,3.28,1.09,33.88,6.56,1.09,757.34,2.19,3.28,1.09,495.06,22.95,0,1.09,6.56,96.17,2.19,29.51,1.09,0,34.97,3.28,2.19,4.37,110.38,0,155.18,14.21,0,14.21,0,0,0,1.09,0,15.3,3.28,1.09,9.84,4.37,1.09
108-118,0,0,4.6,0,19.15,2.3,0,552.26,0,0.77,2.3,415.92,12.26,0,0,3.06,55.15,0.77,19.92,0.77,0.77,27.57,0.77,0.77,3.06,112.6,0,99.58,10.72,0,3.06,0.77,0,1.53,0,0,9.96,2.3,2.3,5.36,1.53,1.53
120,0,0,1.96,1.96,27.44,1.96,0,695.72,0,3.92,3.92,431.15,11.76,0,1.96,5.88,45.08,0,0,0,0,31.36,1.96,1.96,3.92,131.31,0,68.59,19.6,0,7.84,0,0,7.84,0,0,3.92,0,0,3.92,1.96,0
