stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,15,14,0,8,0,0,0,1,0,0,1,0,0,0,0,0,29,0,0,4,415,0,1,13,1,0,0,2,6,0,2,7,0,0,8,0,0
 24-34,0,0,0,10.67,5.75,2.46,0,44.33,0,0,0,0,0.82,0,1.64,0,0.82,0.82,0,0,158.43,0,0,17.24,593.48,0.82,0,40.22,0,0,1.64,0.82,3.28,0,0,64.03,0,0,63.21,0,0.82
 36-46,0,0,0,2.42,4.83,1.61,0,37.06,0,0,4.03,20.95,0,0,2.42,0.81,0,0,0.81,0.81,248.15,0,0,16.92,688.04,0,1.61,24.17,0,1.61,1.61,0.81,0.81,0.81,0,148.24,0,0,36.26,0,0
 48-58,0.57,0,0,4.02,6.89,1.15,0,62.54,0,1.72,5.16,51.07,2.87,0,1.15,0,0,0,0.57,0,334.53,0,0,11.48,496.34,0,0.57,16.07,0,0.57,1.15,0,0,0.57,0,84.92,0,1.15,24.67,0,0.57
 60-70,0,0,0.98,0.98,3.93,0.98,0,71.65,0,0.98,3.93,47.11,6.87,0,2.94,0,0.98,0,0,0.98,335.68,0.98,0.98,9.82,373.96,0.98,0.98,13.74,0,0,1.96,0,2.94,0,0,38.28,0,3.93,20.61,0,0.98
 72-82,0,0,0.98,0,9.82,0,0,56.94,0,0,14.72,40.25,13.74,0,0.98,0.98,0,1.96,0.98,0,374.01,0,2.94,8.83,205.17,0,2.94,19.63,0,0,0,0,1.96,0,0,11.78,0.98,0.98,33.38,0,0
 84-94,0,0,1.06,0,7.43,1.06,1.06,107.27,1.06,0,10.62,28.68,19.12,0,3.19,1.06,0,0,0,0,250.64,1.06,2.12,11.68,126.38,0,6.37,37.17,0,0,2.12,0,5.31,0,0,5.31,2.12,5.31,37.17,1.06,0
 96-106,0,0,0,0,2.19,1.09,1.09,66.66,0,0,6.56,45.9,19.67,0,1.09,0,1.09,0,1.09,1.09,208.73,0,3.28,10.93,97.26,0,10.93,33.88,0,1.09,4.37,0,3.28,0,0,3.28,1.09,5.46,29.51,2.19,1.09
108-118,0,0,2.3,0,3.83,0.77,4.6,67.4,0,0.77,8.43,23.74,15.32,0,0.77,0,0.77,0.77,1.53,3.06,142.47,0,3.06,1.53,95.75,1.53,9.19,26.81,0,0.77,1.53,0,3.06,0,0,1.53,0.77,0,28.34,1.53,0
120,1.96,0,0,0,1.96,0,3.92,54.87,1.96,0,15.68,29.4,19.6,0,5.88,0,0,0,0,0,139.14,0,5.88,0,125.43,0,3.92,33.32,0,0,0,0,3.92,0,0,1.96,0,7.84,13.72,0,0
