stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,6,0,2,96,0,0,0,0
 24-34,0,4.1,0,3.28,0,25.45,0,0,0,1.64,0,0,0.82,5.75,0,0,0,0,2.46,3.28,0,0,1.64,916.08,0,0.82,3.28,0,0,0.82,0,0,21.34,0,0,151.04,0,1.64,0,0
 36-46,0,1.61,0,1.61,0.81,131.32,0,0,0,9.67,0.81,0,0,2.42,0,0,0,0,10.47,1.61,0,0,1.61,1318.07,0.81,0,3.22,0,0,1.61,0,0.81,12.89,0,0,249.76,0,3.22,0,2.42
 48-58,0,1.15,0,2.3,0,312.72,0.57,0,0,26.97,0.57,0.57,0,10.33,0,0.57,0.57,0.57,18.94,9.75,0,0,1.72,982.93,2.3,0,3.44,0,0.57,4.02,0,0,10.33,0,0,177.88,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,569.28,0.98,0.98,0,48.09,0,0,0,10.8,0,0,0.98,0,2.94,13.74,0,1.96,0.98,1045.32,0,0,5.89,0,0,0.98,0,0,17.67,0.98,0,146.25,0,4.91,0,0
 72-82,0,0.98,0,6.87,0.98,569.36,0,0.98,0,83.44,3.93,0,0,21.6,0,0.98,3.93,0.98,11.78,35.34,0,0.98,1.96,844.23,0,0.98,11.78,0,0,3.93,0,0,15.71,0,0,65.77,1.96,4.91,0.98,0
 84-94,0,1.06,0,5.31,5.31,389.77,1.06,1.06,1.06,66.91,0,0,1.06,37.17,1.06,5.31,1.06,3.19,14.87,30.8,1.06,1.06,2.12,442.87,1.06,1.06,13.81,0,0,3.19,0,0,23.36,1.06,0,43.54,0,2.12,1.06,3.19
 96-106,0,1.09,1.09,13.11,3.28,354.08,0,1.09,0,77.59,2.19,0,0,44.81,0,1.09,7.65,2.19,9.84,25.14,0,1.09,5.46,334.41,0,1.09,9.84,0,0,4.37,0,0,7.65,0,0,15.3,0,2.19,0,0
108-118,0,0,0.77,9.19,0,304.85,0,2.3,0,70.47,3.83,0,0,23.74,0,0.77,1.53,1.53,18.38,11.49,0,0,1.53,384.51,0,0.77,11.49,0,0,3.06,0,0,16.09,0,0,13.79,0,2.3,0,2.3
120,0,0,0,5.88,3.92,215.58,1.96,0,3.92,76.43,1.96,0,1.96,35.28,0,0,1.96,1.96,5.88,9.8,0,0,1.96,478.19,0,1.96,13.72,0,0,0,1.96,0,19.6,0,0,11.76,0,1.96,0,0
