stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,235,15,0,108,0,0,0,8,1,6,0,0,0,9,1,0,137,3,0,134,553,1,4,98,1,0,3,7,0,0,3,56,0,0,0,0,0
 24-34,0,0,1.64,1.64,174.02,5.75,0,134.62,0,4.1,4.93,58.28,0.82,16.42,0.82,1.64,0,35.3,2.46,0,419.46,1.64,3.28,292.22,1081.07,0.82,8.21,79.62,0,0.82,5.75,1.64,1.64,0,3.28,181.41,0,0,1.64,0,0
 36-46,0,0,0,0,53.17,3.22,0,69.29,0,7.25,22.56,41.89,0,20.14,0,0.81,0.81,32.23,0,0,470.51,0,25.78,168.38,519.66,1.61,4.03,45.92,0,0.81,4.03,0.81,0.81,1.61,0,121.66,0,1.61,0.81,0,0
 48-58,0,0.57,0,0,43.61,0,0,30.41,0,7.46,26.97,12.05,0.57,12.05,0,0,0,35,0,0,457.9,0.57,39.02,73.45,151.48,0.57,6.31,44.18,0,4.59,1.72,0,0,0.57,0,22.38,0,5.16,0.57,0,0.57
 60-70,0,0,0,0,19.63,0,0,19.63,0,8.83,28.46,4.91,0.98,7.85,0.98,0,0,43.19,0.98,0,616.4,0,42.21,34.35,113.86,0,5.89,20.61,0,3.93,0.98,0,0,0,0,7.85,0.98,18.65,0.98,12.76,0.98
 72-82,0,0,0.98,0,43.19,0,0.98,47.12,0,6.87,33.38,12.76,5.89,1.96,0,0,0,53.01,0,0,900.18,0.98,34.36,21.6,120.74,0,4.91,35.34,0,3.93,0,0,0,0,0,5.89,3.93,39.27,4.91,39.27,0.98
 84-94,0,0,0,0,76.47,0,0,60.54,1.06,21.24,18.05,10.62,19.12,8.5,1.06,2.12,0,70.09,0,0,644.66,0,38.23,18.05,72.22,0,10.62,47.79,0,5.31,4.25,0,0,1.06,0,4.25,7.43,30.8,1.06,32.92,0
 96-106,0,0,1.09,0,148.63,3.28,0,41.53,1.09,19.67,21.86,12.02,19.67,5.46,3.28,1.09,0,76.5,4.37,1.09,606.53,1.09,25.14,16.39,86.33,2.19,13.11,46.99,0,16.39,12.02,0,0,0,0,7.65,18.58,18.58,5.46,55.74,0
108-118,0,0,1.53,0,96.51,3.06,0.77,13.02,0,23.74,16.85,7.66,15.32,1.53,2.3,4.6,0,53.62,1.53,0,530.05,0.77,13.79,9.96,81.19,0.77,6.13,53.62,0,8.43,9.19,0,0.77,0,0,0.77,22.21,6.89,5.36,19.15,0
120,1.96,0,0,0,56.83,0,0,21.56,0,5.88,13.72,1.96,5.88,5.88,0,1.96,0,41.16,0,0,358.64,1.96,13.72,13.72,58.79,1.96,9.8,29.4,0,1.96,7.84,0,0,0,0,0,1.96,5.88,1.96,13.72,0
