stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,4,37,1,7,0,0,0,0,0,0,0,27,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,6.57,0,1.64,74.7,0,67.31,1.64,0,0,0.82,0,0,0.82,23.8,0,0,2.46,0,0
 36-46,0,0.81,0,0.81,0,0,29,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0.81,0.81,152.27,0.81,96.68,3.22,0,0.81,0.81,0,0,0,41.09,0,0,0,0,0
 48-58,0,1.72,0,0.57,0,0,147.47,0,0,0,6.31,0,0.57,0,0,0,0,0,13.77,0.57,1.15,154.93,0,65.41,1.72,0,0,0.57,0,0,0,52.22,0,0,0.57,0.57,0
 60-70,0,0,0,0,0.98,0,372.98,0,0,0,12.76,0,0.98,0,0,0.98,0,0,9.82,0.98,0.98,86.37,0,64.78,0.98,0,0.98,1.96,0,0,0,24.54,0,0,0,0,0.98
 72-82,0,6.87,0,1.96,0,0,266.03,0,0,0,23.56,2.94,0,0.98,0.98,0,0,0.98,21.6,1.96,0.98,121.73,0,106.02,1.96,0,0,1.96,0,0,0.98,20.61,0,0,7.85,0,0.98
 84-94,0,6.37,0,3.19,0,0,274.01,0,0,1.06,20.18,1.06,0,0,0,0,1.06,0,15.93,2.12,1.06,69.03,0,111.51,1.06,0,0,1.06,1.06,1.06,1.06,9.56,0,0,13.81,0,0
 96-106,0,15.3,0,9.84,2.19,0,505.99,0,1.09,2.19,32.79,9.84,0,5.46,1.09,0,0,1.09,9.84,0,2.19,97.26,0,192.34,1.09,0,0,8.74,0,1.09,1.09,9.84,1.09,1.09,14.21,1.09,1.09
108-118,0,13.02,0,5.36,1.53,0,477.96,0,0.77,0,26.81,2.3,0.77,3.06,0,0,0,0,10.72,0,0.77,101.87,0,130.21,2.3,0,0,1.53,0,0,0,3.83,0.77,0,9.96,1.53,0.77
120,0,9.8,0,1.96,0,1.96,403.72,1.96,0,0,23.52,5.88,0,0,0,0,3.92,0,17.64,1.96,0,117.59,0,76.43,0,0,3.92,5.88,0,0,0,0,1.96,1.96,19.6,0,1.96
