stage,epidermis,eye,glial,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,4.1,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0.81
 48-58,0,1.15,0,0,0,0.57,0,0,0,6.89,0,0,2.3
 60-70,0,3.93,0,0,0,0,0,0,0,5.89,0,0.98,2.94
 72-82,0.98,6.87,1.96,0,0,0,0,0,0,12.76,0,0,0
 84-94,0,4.25,0,0,0,0,0,0,2.12,4.25,0,0,1.06
 96-106,1.09,2.19,1.09,0,1.09,0,1.09,0,0,3.28,1.09,0,0
108-118,0,1.53,0.77,0,0,0,0,0,0,3.06,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,3.92,1.96,1.96,0
