stage,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,slow_muscle,spinal_cord,vasculature
 14-21,0,1,0,0,0,0,0,0,2,0,0,0,3,0
 24-34,0.82,0,0,0,0,0,2.46,0,6.57,0,0,0,3.28,0
 36-46,0,0,1.61,0,0,0,0.81,0.81,7.25,0.81,0,0,3.22,0
 48-58,0,0,0,0.57,0,0,0,0,2.87,0,0,0,2.87,0
 60-70,0,0,1.96,0,0,0,1.96,0,6.87,0,0,0,1.96,0.98
 72-82,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0.77,0,0.77,0,0.77,0,0.77,0,0,0
120,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
