stage,blastomeres,eye,glial,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,1,0,1,0
 24-34,0,0,0,1.64,0,8.21,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,0.81,21.75,0,0.81,0,0,5.64,0
 48-58,0,0,0,1.15,0,17.21,0,0,0,0,4.59,0
 60-70,0,2.94,0,0.98,0,29.45,0,0,0,0.98,3.93,0
 72-82,0,2.94,1.96,2.94,0,30.43,0.98,0,0,0,1.96,0
 84-94,0,2.12,0,0,0,18.05,0,0,0,0,1.06,0
 96-106,0,4.37,0,2.19,0,15.3,0,0,0,0,1.09,0
108-118,0,3.06,0,2.3,0,11.49,0,0,0,0,0,0
120,0,3.92,5.88,3.92,0,23.52,0,0,0,0,1.96,0
