stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0,0.98
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96
