stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,9.44,0,0,0,0,0,0
 14-21,0,2,92,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,1,0,0,0,0,3,0,0,57,0,0
 24-34,0,0.82,19.7,0,0.82,0,0,3.28,0,0,0.82,0,0.82,0.82,0,0,57.46,0,0,62.39,7.39,0,0,0.82,0,1.64,0,0,2.46,0,0,177.3,0,0
 36-46,0,3.22,0.81,0,1.61,0,0.81,26.59,0.81,0,3.22,0,0,0,0.81,0,227.2,0,1.61,128.1,12.89,0.81,0,0,0,0,0,0,4.03,0,0.81,110.38,0.81,0
 48-58,0,1.72,0,0,6.31,0,0.57,51.07,0.57,0,2.87,0,0,0,0,0,508.96,0,4.02,116.48,14.92,0,0,0,0.57,1.15,0,0,5.74,0,1.72,85.5,0.57,0.57
 60-70,0,3.93,0,0,3.93,0,1.96,60.85,0.98,0,0,0,0,0,0,0.98,647.8,0.98,9.82,85.39,19.63,0,0,0,11.78,0,0,0,0,0,15.7,72.63,2.94,0
 72-82,0,10.8,0,0,32.39,0,0.98,89.33,5.89,2.94,4.91,0.98,0,0,0,0,852.08,0,36.32,103.07,35.34,0,0.98,2.94,13.74,3.93,0,0,0.98,0,39.27,110.93,10.8,0.98
 84-94,0,14.87,0,0,46.73,1.06,4.25,63.72,0,0,3.19,0,1.06,1.06,0,1.06,544.83,0,29.74,78.59,11.68,0,2.12,1.06,14.87,2.12,0,1.06,1.06,0,37.17,88.15,16.99,0
 96-106,0,28.41,0,0,39.34,0,7.65,60.11,1.09,1.09,12.02,1.09,0,0,2.19,1.09,558.44,1.09,38.25,73.22,54.64,1.09,1.09,0,42.62,1.09,0,2.19,2.19,0,26.23,119.12,15.3,1.09
108-118,0.77,26.04,0.77,0.77,13.79,0.77,5.36,56.68,3.83,0.77,4.6,0.77,0,0.77,0,0,521.62,0,26.04,59.75,21.45,0,0,0,35.23,1.53,0,0.77,1.53,0.77,19.15,78.13,10.72,0
120,0,27.44,1.96,0,9.8,0,3.92,39.2,0,0,3.92,1.96,0,0,0,0,374.32,0,25.48,47.03,45.08,0,0,0,47.03,1.96,0,0,0,0,11.76,72.51,7.84,0
