stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,melanocytes,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0.57,0,5.16,0,0,0,1.15
 60-70,0,0,0.98,0,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0,1.96,0,2.94,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,2.12,1.06,4.25,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,2.19,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,1.53,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
