stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,2,20,3,0,2,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,1,34,8,0,1,1,0,0,4,0,4,3,16,0,0,0,0
 24-34,0,12.31,0,0,3.28,0,0,0,0.82,0,0,7.39,0,0,0,10.67,0,13.13,0,0,4.93,106.71,3.28,0,2.46,0,0,0.82,0,0,0,0.82,19.7,0,0,4.93,0
 36-46,0,7.25,0,0,3.22,0,0,0.81,5.64,0,0,3.22,0,0,0,7.25,0,33.84,0,0,3.22,64.45,2.42,0,1.61,0,0,2.42,0,0,0,0,28.2,0,0,1.61,0
 48-58,0,5.74,1.15,0,9.75,0,0,0.57,16.07,0,0.57,4.59,0.57,0.57,0,8.61,0,91.81,0.57,0.57,5.16,41.31,1.15,0,1.72,0,0.57,1.15,0,0,0,0,63.12,0,1.15,0.57,0
 60-70,0,7.85,0,0,13.74,0,0,0,25.52,0,0,3.93,0,1.96,0,8.83,0,159.01,0,0,4.91,34.35,0.98,0,0.98,0,0,0,0,0,0,0,66.74,0,0,0,0
 72-82,0,18.65,0,0,20.61,2.94,0.98,0.98,37.3,0.98,0,3.93,1.96,3.93,0,23.56,0.98,273.88,0.98,1.96,6.87,52.03,0,0.98,1.96,0,0,0.98,0,0,0,0,40.25,0,2.94,6.87,1.96
 84-94,0,28.68,0,1.06,27.61,1.06,1.06,0,20.18,2.12,0,6.37,0,7.43,0,10.62,1.06,150.81,0,1.06,6.37,36.11,2.12,0,0,0,0,2.12,0,1.06,0,0,18.05,0,6.37,1.06,1.06
 96-106,0,30.6,0,0,17.49,1.09,6.56,1.09,25.14,0,0,1.09,0,4.37,1.09,13.11,0,161.74,1.09,0,5.46,30.6,0,0,1.09,0,0,3.28,0,0,0,0,9.84,0,5.46,3.28,2.19
108-118,0,36.77,0,2.3,12.26,0.77,2.3,0,26.04,1.53,0,1.53,1.53,8.43,0.77,8.43,0.77,158.55,0,0,2.3,52.09,0,0.77,2.3,0,0.77,2.3,0,0,0,0,11.49,0.77,4.6,2.3,0
120,0,23.52,0,0,15.68,1.96,1.96,0,25.48,0,0,5.88,1.96,5.88,0,11.76,0,105.83,0,1.96,0,29.4,3.92,1.96,3.92,0,1.96,0,0,0,0,0,9.8,0,1.96,5.88,0
