stage,axial,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0.57
 60-70,0,0,0,0.98,1.96,0,0,0,0.98,0.98,1.96,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
