stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,11,182,3,0,0,0,0,0,9,0,0,23,0,0,0,1,1,2,0,1,25,5,1,5,1,0,101,3,6,0,4,10,0,0,1,0,0
 24-34,0,0,0.82,0.82,7.39,210.96,7.39,0,1.64,0,0.82,0,6.57,1.64,6.57,47.61,0,1.64,0,0,4.1,7.39,0,3.28,44.33,93.58,6.57,1.64,0,0,307.82,0,4.93,0,1.64,13.13,0,0,4.93,0,4.1
 36-46,0,0,0,0.81,11.28,58.81,15.31,0,2.42,0.81,1.61,0.81,2.42,0,5.64,23.36,0.81,1.61,0,0,16.11,4.83,0,4.03,73.32,101.51,6.45,0.81,0,0,328.71,0,3.22,0,0,24.17,0,0,4.03,0,8.06
 48-58,0,0,0,0,6.89,27.54,32.13,0,5.74,1.15,2.3,0.57,8.61,1.72,3.44,11.48,0.57,2.3,0.57,2.3,38.44,11.48,0,2.3,41.89,45.9,3.44,1.15,0,0,219.77,0,1.15,0,0,9.18,0,0,4.02,0,12.05
 60-70,0,0,0,0,20.61,17.67,140.36,0,2.94,1.96,1.96,3.93,0.98,0,6.87,13.74,0,6.87,0,0,159.99,12.76,1.96,2.94,37.3,22.58,1.96,0.98,0,0,169.8,0,2.94,0,0,3.93,0,5.89,3.93,0,8.83
 72-82,0,0,0,0,21.6,56.94,285.66,1.96,3.93,0.98,7.85,5.89,3.93,0.98,15.71,37.3,0,5.89,0.98,0,289.59,11.78,1.96,5.89,44.17,12.76,0,2.94,0,0,123.69,0,0,0,0,0.98,1.96,14.72,3.93,0,2.94
 84-94,0,0,0,1.06,52.04,48.85,237.9,1.06,8.5,2.12,2.12,10.62,8.5,1.06,13.81,41.42,3.19,6.37,0,2.12,265.51,22.3,3.19,4.25,28.68,19.12,11.68,3.19,0,0,439.68,0,1.06,0,0,0,0,19.12,7.43,0,5.31
 96-106,0,0,0,0,60.11,51.36,257.91,1.09,15.3,2.19,5.46,20.76,2.19,2.19,31.69,69.94,1.09,12.02,2.19,0,127.86,21.86,0,7.65,52.46,19.67,10.93,4.37,0,0,497.25,0,4.37,1.09,0,3.28,2.19,19.67,9.84,1.09,5.46
108-118,0,0,0.77,0.77,75.06,61.28,206.81,0,20.68,1.53,8.43,32.17,0,0.77,29.87,85.02,2.3,9.96,1.53,1.53,70.47,26.04,3.83,4.6,51.32,13.02,16.09,1.53,0,1.53,560.68,0,1.53,0.77,0,1.53,3.06,15.32,10.72,3.83,5.36
120,0,0,0,0,41.16,58.79,221.46,0,23.52,1.96,1.96,19.6,0,3.92,25.48,37.24,3.92,5.88,3.92,0,39.2,11.76,1.96,5.88,25.48,13.72,3.92,0,0,0,231.25,0,1.96,0,0,0,0,11.76,7.84,0,1.96
