stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,32.83,27.91,0,0,0,0,19.7,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,1.61,0,0.81,67.68,51.56,0,0,0,0,42.7,0,0,0,0
 48-58,0,0,0.57,0,0,5.16,0,0,0,0,0,0,0,0,0,1.15,0,0.57,70.58,39.02,0,0,0,0,26.97,0,0,0,0
 60-70,0,0,0.98,0,0,33.37,0,0,0.98,3.93,0,0,0,0,0,3.93,0,1.96,113.86,50.06,0,0,0,0,20.61,0,0,0,0.98
 72-82,0.98,0,2.94,0,0,183.57,0,0,3.93,9.82,0,0.98,0,0.98,0,8.83,0.98,0,203.2,82.46,0,0,0,0,16.69,0.98,0,0,0
 84-94,0,0,4.25,0,0,162.49,0,0,1.06,9.56,0,0,0,0,0,5.31,0,0,117.89,86.03,0,0,1.06,0,9.56,0,0,0,0
 96-106,0,0,5.46,1.09,1.09,184.69,1.09,0,2.19,8.74,1.09,2.19,2.19,0,0,5.46,0,0,102.73,125.68,1.09,0,0,0,10.93,1.09,0,0,0
108-118,0.77,0,6.89,0,0,114.13,0,0,2.3,6.89,0,3.06,0,0,0.77,12.26,0,0,133.28,68.17,0,0,0.77,0,7.66,0.77,0,0.77,0
120,0,0,5.88,0,0,111.71,0,0,0,7.84,0,1.96,0,1.96,0,15.68,0,0,188.14,48.99,0,0,0,1.96,9.8,0,1.96,0,0
