stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,91.26,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,1,57,1,0,0,2,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,7,4,0,0,6,0
 24-34,0,0,0,4.1,1.64,0,0,1.64,0,0,0,0,0,0,0,4.1,0,0,35.3,0,0,0,0,0,0,0,0.82,4.1,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0,0,1.61,0,1.61,29.81,0,0,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0.57,2.3,0.57,0.57,1.15,0.57,0,0,0,0,0,0,4.02,0.57,4.02,10.9,0,0,0,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,4.91,0,0,1.96,0.98,0,0,0,0.98,0,0,6.87,0,1.96,0.98,0,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,1.96,0,0,0,0.98,0,0,1.96,0,0.98,0,7.85,0,0.98,6.87,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,3.19,0,1.06,0,0,0,0,2.12,0,2.12,2.12,0,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,0,3.28,0,0,1.09,0,0,1.09,3.28,0,1.09,5.46,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,3.06,0,0,2.3,1.53,0,0,0.77,0,1.53,0,3.06,0,0.77,3.06,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,3.92,5.88,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0
