stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,19,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,0,0,0,0,9.85,0,0,1.64,0,1.64,5.75,0,0.82,0,0,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,7.25,0,0,2.42,0,0,0,12.89,0,0,1.61,0,1.61,7.25,0,0,0,0,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,0.57,0,39.02,0,0.57,0.57,0,0,0,8.61,0,0.57,2.3,0,1.15,5.74,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,148.21,0,0,0.98,0,0,0,12.76,0,0,2.94,0,1.96,4.91,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0.98,153.14,0,0.98,2.94,0,0,0.98,22.58,0,0,12.76,0.98,0.98,7.85,0,0,0.98,0,0.98,0,0,0.98,0.98,0,2.94,0.98
 84-94,0,0,1.06,0,135.94,0,1.06,1.06,1.06,0,0,46.73,1.06,0,0,0,0,3.19,0,0,0,0,2.12,0,0,1.06,0,2.12,3.19,0
 96-106,0,0,1.09,2.19,120.21,0,0,0,0,0,0,48.09,0,0,6.56,0,0,8.74,0,0,0,0,1.09,0,0,2.19,0,0,2.19,0
108-118,0,0.77,1.53,0.77,81.19,1.53,0,1.53,0,0,0,45.19,0,0,0,0,0,7.66,0,0,0.77,0,0.77,0,0,0.77,0,0,1.53,0.77
120,0,0,0,3.92,84.27,0,0,1.96,0,0,0,48.99,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96
