stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,45.97,0,0,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,5.64,0,0,0.81,206.25,1.61,0,0,0,19.34,0,0
 48-58,0,0,0,18.94,0,0,1.15,0,0,0,12.05,0,0,1.72,219.77,0,0,0,0,40.17,0,0.57
 60-70,0,0,0,16.69,0,0,0,0.98,0,0,17.67,0,0,0,274.83,4.91,0,0,0,29.45,1.96,0
 72-82,0,1.96,0.98,30.43,0,0,4.91,0.98,0,0.98,43.19,0.98,0,5.89,272.9,0.98,0,0,1.96,24.54,1.96,0
 84-94,0,0,0,28.68,0,0,1.06,1.06,0,0,25.49,0,0,0,143.38,0,0,0,0,13.81,1.06,0
 96-106,0,3.28,0,17.49,0,0,3.28,5.46,0,0,13.11,0,1.09,0,126.77,0,1.09,1.09,0,4.37,3.28,0
108-118,0,0.77,0.77,7.66,0,0.77,2.3,3.06,0.77,0,14.55,0,0,0,184.6,0,0,0,0,8.43,0,0
120,0,0,0,17.64,1.96,1.96,1.96,0,0,0,15.68,0,0,0,145.02,0,1.96,0,1.96,3.92,3.92,0
