stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste
  5-6,12.26,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,7.89,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,34.17,0,0,0,0
 10-12,6.29,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,37.76,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,15.31,0,0.81,0,0,0,0,1.61,0
 48-58,0,0,0,0.57,3.44,0,1.15,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,6.87,0.98,0,0.98,0,0,0.98,0,0,0,0,11.78,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,7.85,0,0.98,0,0,0,0,0,1.96,0,1.96,11.78,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,6.37,0,0,0,0,0,0,0,1.06,1.06,0,6.37,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,5.46,0,0,0,0,0,0,0,2.19,0,0,7.65,0,4.37,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,1.53,0,0,0,0,0,2.3,0,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,11.76,1.96,1.96,0,0,0,0,0,0
