stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,882.67,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,15.77,0,49.95,0,2.63,0,70.98,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,693.98,31.54,0,0,320.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,47.2,0,0,0,66.09,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,667.16,59.79,0,0,346.17,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,31,8,0,9,0,0,0,9,4,0,2,0,0,0,0,0,0,31,0,0,17,186,8,3,0,7,0,2,28,3,1,33,96,0,0,5,0,0
 24-34,0,0,0,2.46,17.24,2.46,0,44.33,0,0.82,1.64,11.49,0.82,0,2.46,0,3.28,0,0,0.82,2.46,45.97,0,0.82,34.48,544.23,4.1,7.39,6.57,0,0,9.03,0,4.1,0,13.95,158.43,0,0,13.95,0,0.82
 36-46,0,0,1.61,0,7.25,3.22,0,62.84,3.22,0.81,3.22,17.72,0,0,0.81,0,1.61,0,0,0,0.81,52.37,0.81,1.61,16.11,630.03,4.03,5.64,7.25,0,0,12.09,0,1.61,0.81,0,178.05,0,0,5.64,0,3.22
 48-58,0,0,0,0,8.61,1.72,0,133.7,1.15,2.87,2.87,43.61,0,0,0.57,1.72,0.57,0.57,1.72,0.57,2.3,94.1,0.57,2.3,20.08,538.8,1.72,4.59,2.3,0,0.57,15.49,0,1.15,1.15,0,147.47,0,0,8.61,0,3.44
 60-70,0,0,0.98,0,8.83,3.93,0,249.31,0,2.94,5.89,64.78,0.98,0.98,0,2.94,0.98,1.96,2.94,0.98,1.96,131.52,3.93,2.94,16.69,547.69,3.93,2.94,4.91,0,0,10.8,0,2.94,0,0,92.26,0.98,2.94,7.85,0,1.96
 72-82,0,0,1.96,0,16.69,17.67,0,286.65,1.96,3.93,8.83,94.24,7.85,0.98,1.96,9.82,3.93,1.96,4.91,0,0.98,202.22,1.96,8.83,24.54,524.21,1.96,5.89,4.91,0,0.98,9.82,0,3.93,0,0,57.92,0.98,5.89,14.72,1.96,6.87
 84-94,0,0,2.12,0,24.43,15.93,0,199.66,3.19,3.19,4.25,50.98,5.31,0,6.37,7.43,7.43,3.19,2.12,1.06,3.19,131.69,3.19,10.62,15.93,268.7,3.19,13.81,10.62,0,3.19,53.1,0,3.19,1.06,0,38.23,0,5.31,19.12,3.19,1.06
 96-106,0,0,2.19,0,31.69,9.84,1.09,146.44,0,5.46,5.46,60.11,5.46,0,3.28,16.39,3.28,2.19,6.56,1.09,1.09,118.03,3.28,7.65,13.11,212.01,2.19,9.84,15.3,0,3.28,32.79,0,0,0,0,20.76,3.28,3.28,17.49,5.46,1.09
108-118,0,0,0.77,0,29.87,11.49,3.06,121.79,3.06,4.6,4.6,46.72,9.19,0,0.77,9.19,2.3,3.06,4.6,3.06,2.3,88.85,0.77,6.89,6.13,277.28,9.19,9.19,9.96,0,2.3,30.64,0,1.53,0.77,0,12.26,4.6,0.77,14.55,1.53,4.6
120,1.96,0,0,0,35.28,11.76,0,84.27,3.92,19.6,5.88,33.32,9.8,0,1.96,9.8,0,0,9.8,1.96,0,74.47,3.92,5.88,9.8,225.38,9.8,9.8,9.8,0,7.84,29.4,0,1.96,0,0,7.84,1.96,0,7.84,1.96,0
