stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,74.7,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0,10.67,29.55,0,0,0,0,0,6.57,0,0,0.82,7.39,0.82,0,0,0,0,0.82
 36-46,0,0,2.42,0,0,11.28,284.4,0.81,0.81,1.61,0,0,0,0,0.81,0,0,0,0,6.45,0,0,12.89,53.98,3.22,0.81,0,0,0,2.42,0,0,1.61,4.83,8.06,0,0,0.81,0,0.81
 48-58,0,0,4.59,0.57,0,64.84,379.29,0.57,1.15,14.92,0,0,0,0.57,0,0,0,0.57,1.15,18.36,0,0,29.26,149.76,0.57,2.3,1.15,0,0,4.59,0,0,2.3,0,35,0,0,4.59,0,4.02
 60-70,0,0,9.82,1.96,0,61.84,305.25,2.94,0.98,9.82,0,0,0,0,0.98,1.96,0,0,0,28.46,0,0.98,35.33,134.47,0.98,0.98,3.93,0,0,4.91,0,0,3.93,0,18.65,0.98,2.94,2.94,0,2.94
 72-82,0,0.98,4.91,7.85,0,90.31,211.06,0.98,3.93,24.54,0,0.98,1.96,1.96,0.98,0,0,2.94,0,41.23,0.98,0.98,32.39,138.41,0.98,2.94,0,0,0,13.74,0,0,3.93,0,12.76,0,2.94,9.82,2.94,5.89
 84-94,0,1.06,13.81,15.93,0,63.72,363.22,5.31,3.19,12.74,4.25,0,0,3.19,1.06,4.25,2.12,2.12,2.12,26.55,1.06,5.31,33.99,103.02,3.19,1.06,2.12,0,0,24.43,0,0,0,0,7.43,0,4.25,4.25,1.06,2.12
 96-106,0,3.28,30.6,42.62,1.09,151.91,633.85,12.02,6.56,37.16,9.84,0,3.28,8.74,5.46,3.28,3.28,14.21,3.28,112.56,7.65,1.09,46.99,216.38,1.09,8.74,6.56,1.09,2.19,55.74,1.09,0,0,0,6.56,4.37,6.56,17.49,5.46,12.02
108-118,0,4.6,26.81,15.32,3.83,125.62,500.17,9.19,5.36,39.83,3.83,0,1.53,6.89,3.83,5.36,0.77,10.72,2.3,78.89,3.83,0,81.19,228.26,0.77,4.6,7.66,0,1.53,36.77,0,1.53,0.77,0,11.49,1.53,8.43,7.66,3.83,12.26
120,0,1.96,29.4,11.76,1.96,47.03,323.36,7.84,7.84,39.2,9.8,0,0,21.56,0,1.96,0,7.84,0,101.91,1.96,1.96,96.03,197.94,1.96,3.92,5.88,0,0,35.28,0,0,3.92,0,3.92,0,0,7.84,7.84,0
