stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,73.06,0,0,1.64,0,0,6.57,0,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,2.42,0,0,0,0,0,101.51,0,0,3.22,0,0,19.34,0,0,0,0,1.61,3.22,0,0,0
 48-58,0,0,0,2.3,0,0,1.15,0,0,91.81,0,0,1.72,0,0,5.74,0,0,0,0,0,2.87,0,0.57,0
 60-70,0,0,0,5.89,0,0,1.96,0,0,105.02,0,0,0.98,0,0,10.8,0,0,0,0,0.98,2.94,0,0,0
 72-82,0,0.98,0.98,6.87,0,0,2.94,0,0,107,0,0,7.85,0,0,9.82,0,0.98,0,0,2.94,0,0.98,0,0.98
 84-94,0,0,0,7.43,0,0,0,0,0,141.25,0,0,7.43,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,7.65,0,1.09,3.28,1.09,1.09,143.16,0,0,6.56,1.09,0,6.56,1.09,0,0,1.09,1.09,0,0,1.09,2.19
108-118,0,0.77,2.3,1.53,1.53,0,0,0,0,114.13,0,0,3.06,0,0.77,8.43,1.53,0,0,0,0.77,0,0,0,0
120,0,0,9.8,3.92,0,0,3.92,0,0,239.09,1.96,1.96,1.96,0,0,5.88,1.96,0,0,0,1.96,0,0,0,0
