stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,16,0,1,0,0,237,3,0,0,0,0,0
 24-34,0,0,0,13.13,0,0,18.88,226.56,0,0,2.46,0,0,6.57,0.82,1.64,0,0.82,1.64,0.82,18.06,0,0,46.79,219.17,0,3.28,2.46,0,0,47.61,0,0.82,0.82,0,256.93,33.66,0,0,4.1,0,0
 36-46,0,0,0,8.86,0,0,29.81,487.43,2.42,1.61,4.03,0,0,4.83,0.81,0,0.81,2.42,0.81,0.81,24.17,0,0,30.62,186.11,0,1.61,0.81,0,0,33.84,0,0,0,0,20.14,45.12,0,0,4.83,0,2.42
 48-58,0.57,0,0.57,8.03,1.72,0,140.58,456.17,3.44,2.3,29.26,1.72,1.15,4.02,1.72,0,1.15,0.57,1.15,0,65.99,0.57,1.15,30.41,388.47,2.87,3.44,3.44,0,0,13.2,0,0,1.72,1.15,0,80.33,0,0,7.46,0,9.18
 60-70,0,0,1.96,10.8,4.91,0,107.97,329.79,1.96,0.98,16.69,0.98,0,2.94,0.98,3.93,0,1.96,0.98,0,39.26,1.96,0.98,33.37,199.25,0,1.96,2.94,0,0,7.85,0,0,1.96,0,0,39.26,0,1.96,2.94,0,4.91
 72-82,0,0,0.98,6.87,9.82,0,109.95,240.51,2.94,4.91,20.61,0,0.98,5.89,3.93,0.98,0.98,3.93,0,1.96,67.73,2.94,0.98,29.45,169.83,0,1.96,4.91,0.98,0.98,7.85,0,0,0,0,0,10.8,0,0.98,5.89,1.96,4.91
 84-94,0,0,0,16.99,24.43,0,100.89,388.71,1.06,4.25,36.11,2.12,0,5.31,8.5,1.06,0,0,1.06,1.06,52.04,0,5.31,36.11,115.76,0,2.12,1.06,0,1.06,45.67,0,0,1.06,0,0,14.87,0,2.12,5.31,0,4.25
 96-106,0,0,3.28,26.23,37.16,4.37,140.98,653.52,4.37,4.37,54.64,7.65,0,8.74,5.46,2.19,2.19,1.09,8.74,2.19,91.8,3.28,4.37,45.9,229.5,1.09,9.84,7.65,0,4.37,44.81,1.09,0,2.19,2.19,0,10.93,1.09,1.09,13.11,3.28,7.65
108-118,0,0,0,15.32,7.66,2.3,74.3,507.07,2.3,1.53,16.85,6.13,0,6.89,3.83,2.3,3.83,2.3,8.43,2.3,61.28,3.06,2.3,52.85,141.7,0.77,2.3,3.83,0,3.06,21.45,0,0,0.77,0,0,5.36,0.77,0.77,4.6,0,4.6
120,0,0,0,23.52,11.76,1.96,39.2,301.81,1.96,0,9.8,0,0,3.92,3.92,1.96,0,0,0,0,33.32,0,0,47.03,64.67,3.92,3.92,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,7.84,1.96,0
