stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,514.89,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,23.66,0,0,0,28.92,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,244.47,5.26,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,6.29,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,122.73,9.44,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,6,0,13,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,10,174,3,0,3,3,0,2,15,0,1,27,56,0,0,2,0,0
 24-34,0,0,0,5.75,0,0,21.34,0,0,0,4.93,0,0,0,0,0,0.82,0,0,0,18.88,0,0,8.21,160.89,0,0,3.28,0,0,4.93,0,0.82,0,1.64,28.73,0,0,1.64,0,0.82
 36-46,0,0,0,2.42,0,0,24.98,0.81,0.81,0.81,5.64,1.61,0,0,0,0,0,0,0,0.81,23.36,0,1.61,4.83,78.15,0.81,0,2.42,0,0,2.42,0,0,0,0,27.39,0,0,4.03,0,0
 48-58,0,0,0,0.57,0,0,25.25,0,0,1.72,6.89,0,0,0.57,0,0,0.57,0.57,0.57,0,20.66,0.57,0,1.15,44.18,0,0,0.57,0,0.57,0.57,0,0,0,0,12.05,0,0,2.3,0,0
 60-70,0,0,0,3.93,0,0,24.54,0.98,0,0,11.78,0,0,0.98,0.98,0,0,0,0,0,23.56,0.98,0.98,1.96,43.19,0,0,0.98,0,0,3.93,0,0,0,0,12.76,0,0,2.94,0,0.98
 72-82,0,0,0,3.93,0,0,22.58,0,0,1.96,9.82,0.98,0,0,0,0.98,0.98,0.98,0,0,39.27,0,0.98,2.94,18.65,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,0,15.93,0,1.06,0,5.31,1.06,0,0,2.12,2.12,2.12,0,1.06,0,10.62,0,0,3.19,11.68,0,1.06,0,0,0,2.12,0,2.12,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,3.28,0,0,6.56,0,0,1.09,6.56,0,0,0,1.09,0,0,0,0,0,12.02,0,0,0,10.93,0,1.09,1.09,0,0,1.09,0,0,0,0,2.19,1.09,0,1.09,1.09,0
108-118,0,0,0,2.3,0,0.77,9.96,1.53,0,0,6.89,0,0,0,0,0,1.53,0,0,0.77,9.19,0,0,3.83,19.15,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,1.53,0,0
120,0,0,1.96,3.92,0,0,5.88,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
