stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,6,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,5,0,0,3,42,4,2,0,1,0,1,0,2,0,27,0,0,2,0,0
 24-34,0,0,4.93,1.64,0.82,0.82,0,7.39,0,0,0.82,2.46,1.64,0,0,5.75,0.82,0,0,6.57,0,16.42,0,0,2.46,238.87,1.64,18.06,3.28,0,0,1.64,0,2.46,0,73.06,0,0,11.49,0,0
 36-46,0,0,5.64,0,0.81,0,0,10.47,0,0,5.64,4.03,0,0,0,11.28,0,0,0,0,3.22,32.23,0,0,7.25,559.94,5.64,30.62,2.42,0,0,0.81,0,3.22,0,124.88,0,0,8.06,0,0.81
 48-58,0,0,4.02,0,1.72,1.15,0,57.95,0,0,5.74,9.18,0,0,0.57,9.18,0.57,1.72,0.57,2.87,1.72,52.22,0,1.15,9.18,708.08,3.44,17.79,2.87,0,0,1.72,0,1.72,0.57,107.3,0,1.15,13.77,0,1.72
 60-70,0.98,0,1.96,0,1.96,2.94,0,216.92,0,0,8.83,8.83,8.83,0,2.94,28.46,0,9.82,0.98,0.98,0,110.91,0,0.98,10.8,1223.96,0.98,19.63,4.91,0,1.96,1.96,0,0,0,128.58,0,1.96,9.82,0,2.94
 72-82,0,0,7.85,0,7.85,2.94,0.98,459.42,0,2.94,11.78,28.47,22.58,0,0,32.39,0.98,8.83,5.89,2.94,0,203.2,0,5.89,8.83,1311.5,6.87,37.3,11.78,0,0.98,3.93,0,6.87,0,82.46,0.98,1.96,23.56,4.91,6.87
 84-94,0,0,6.37,0,11.68,3.19,2.12,296.31,0,2.12,6.37,30.8,27.61,0,1.06,50.98,0,28.68,4.25,4.25,3.19,135.94,1.06,2.12,3.19,647.84,3.19,13.81,14.87,0,1.06,5.31,0,9.56,0,59.47,2.12,5.31,19.12,3.19,6.37
 96-106,0,0,8.74,0,6.56,6.56,1.09,295.07,1.09,1.09,6.56,32.79,75.41,0,0,54.64,3.28,25.14,10.93,4.37,1.09,104.91,1.09,3.28,3.28,630.57,6.56,21.86,26.23,0,0,7.65,0,9.84,0,21.86,2.19,1.09,28.41,4.37,9.84
108-118,0,0,6.13,0.77,12.26,3.83,15.32,201.45,0,0,5.36,26.04,91.15,0,0.77,35.23,2.3,30.64,3.06,5.36,0,109.53,0,2.3,4.6,692.43,3.06,19.92,15.32,0,1.53,3.83,0,13.79,0,9.19,1.53,0.77,22.98,2.3,3.83
120,0,0,5.88,0,7.84,3.92,1.96,139.14,3.92,0,3.92,21.56,88.19,0,0,35.28,1.96,7.84,1.96,7.84,0,80.35,0,1.96,1.96,715.32,7.84,11.76,11.76,0,1.96,0,0,15.68,0,15.68,1.96,0,15.68,3.92,0
