stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,36.8,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,25.18,0,6.29,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,72.38,31.47,0,0,154.2,0,0,0,31.47,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,37,6,18,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,84,29,10,3,1,7,0,0,78,1,207,441,8,0,0,0,0,0
 24-34,0,0,0,11.49,1.64,13.13,43.51,9.85,5.75,0.82,0,0,0.82,0,0,0,0,0,59.1,0,0,92.76,62.39,4.93,1.64,4.93,0,0,1.64,0,0,197.01,135.44,18.88,0,0,3.28,0,0
 36-46,0,0,0,4.83,0.81,4.03,49.95,4.03,2.42,0.81,0.81,0,0.81,0,0,0,0,0,83.79,0,1.61,41.09,53.17,1.61,1.61,4.83,0,0,0,0,0,127.3,7.25,4.03,0,0,2.42,0,0
 48-58,0,0,0,5.16,0,4.02,22.95,1.72,3.44,3.44,0,0,0.57,0,0,0,0,0,130.83,0.57,2.3,32.71,32.13,0,0.57,5.16,0,0,0,0,0,78.04,0,5.16,0,0,0.57,0,1.72
 60-70,0,0,0,4.91,0,6.87,21.59,0.98,2.94,4.91,0,0,0.98,0,0,0,0,0,243.42,0,6.87,48.09,30.43,0,0,4.91,0,0,0.98,0,0,46.13,0,3.93,0,6.87,6.87,2.94,0
 72-82,0,0,0,6.87,0,9.82,11.78,0,9.82,10.8,0,0,0,0,0,1.96,0,0,344.56,0,4.91,38.28,26.5,0,0,2.94,0,0.98,0,0,0,16.69,0,6.87,0.98,5.89,28.47,10.8,0
 84-94,0,1.06,0,7.43,1.06,13.81,20.18,0,6.37,7.43,0,0,0,0,2.12,0,0,0,230.46,0,8.5,33.99,10.62,0,0,2.12,0,0,1.06,0,0,30.8,0,1.06,1.06,2.12,25.49,10.62,0
 96-106,0,1.09,0,2.19,0,15.3,16.39,0,3.28,14.21,0,0,0,0,0,0,1.09,0,158.46,1.09,3.28,29.51,15.3,0,1.09,7.65,1.09,0,1.09,0,1.09,31.69,0,1.09,2.19,3.28,28.41,4.37,0
108-118,0,0,0,2.3,0,5.36,19.92,0,9.96,6.89,0.77,0,0.77,0.77,0.77,0,0,0.77,117.96,0,1.53,26.04,22.21,0,0,4.6,0,2.3,0,0,0,26.04,0,0.77,0,2.3,33.7,6.13,0
120,0,0,0,5.88,0,11.76,23.52,0,1.96,1.96,0,0,0,0,0,1.96,0,0,82.31,0,5.88,45.08,15.68,0,0,1.96,0,0,0,0,0,15.68,0,0,1.96,0,37.24,0,0
