stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,1.64,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,3.28,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,2.42,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,6.45,0,1.61,0,0,0,3.22,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0
 48-58,2.87,0,0,0,1.15,0,0,0,0,0,0,4.02,0,0,0,0.57,0,15.49,0,0,0,2.3,0,0,0,0,1.72,0,0,2.3,0,0,0,0,0
 60-70,0,3.93,0,0,6.87,0,0,0,0.98,0,0,4.91,1.96,0.98,0,1.96,0,46.13,0,0,1.96,16.69,0,0,0,0,1.96,0,0,0.98,0,0,0.98,0,0.98
 72-82,0,4.91,7.85,0,51.05,0,2.94,2.94,11.78,4.91,0.98,8.83,0.98,0.98,0,1.96,0,122.71,0.98,1.96,5.89,101.11,0,1.96,0,0,7.85,0,0,10.8,1.96,0.98,5.89,1.96,0.98
 84-94,1.06,4.25,5.31,0,30.8,0,1.06,1.06,5.31,1.06,0,19.12,1.06,1.06,0,1.06,0,94.52,2.12,2.12,2.12,52.04,0,0,3.19,1.06,15.93,0,0,5.31,0,2.12,3.19,0,2.12
 96-106,4.37,39.34,38.25,4.37,106.01,2.19,8.74,4.37,46.99,7.65,1.09,19.67,6.56,3.28,5.46,13.11,1.09,226.22,2.19,4.37,14.21,161.74,2.19,12.02,5.46,1.09,62.29,3.28,1.09,10.93,2.19,2.19,17.49,5.46,4.37
108-118,5.36,24.51,12.26,3.06,85.79,0.77,5.36,8.43,35.23,6.13,2.3,20.68,5.36,2.3,1.53,7.66,2.3,186.89,3.06,1.53,15.32,235.15,2.3,0.77,3.83,3.83,25.28,2.3,0.77,6.13,3.06,1.53,9.96,4.6,4.6
120,0,31.36,17.64,5.88,97.99,0,11.76,1.96,31.36,9.8,3.92,33.32,1.96,5.88,1.96,15.68,0,203.82,5.88,1.96,27.44,258.69,1.96,3.92,7.84,0,37.24,0,0,5.88,0,3.92,19.6,1.96,3.92
