stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0,0.82,0,4.1,0,0,0
 36-46,0.81,0,0,0.81,0.81,0.81,0,0,0,0,0.81,0,0,35.45,0,0.81,0,5.64,0,0,0.81
 48-58,0,0,0,2.87,0.57,2.3,0,0,0,0,5.74,0.57,0,22.95,0,1.72,0,4.59,0.57,0,0.57
 60-70,0,0,0,2.94,0,1.96,0,0,0,0.98,4.91,0,1.96,20.61,0.98,0.98,0,2.94,0,0,0
 72-82,0,0,0,5.89,0,1.96,0.98,0,0,0,2.94,0,0,14.72,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,2.12,0,0,0,0,0,0,1.06,0,0,4.25,0,1.06,0,0,1.06,1.06,0
 96-106,1.09,1.09,0,1.09,0,0,0,0,0,0,3.28,0,0,4.37,0,0,0,0,0,2.19,0
108-118,0,0,1.53,3.83,0,1.53,0.77,0,0.77,2.3,2.3,0,0.77,4.6,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0
