stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,913.32,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,15.77,0,0,0,23.66,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,212.93,7.89,0,0,84.12,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,6.29,0,0,53.5,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,37,8,0,21,0,0,0,5,2,0,1,0,0,0,0,2,0,22,0,15,360,2,2,3,6,0,3,0,35,2,2,28,120,0,0,1,0,1
 24-34,0,0,0,4.1,11.49,0,0,39.4,0.82,0,0,9.03,2.46,0,0.82,0,0,0,0,0,0,39.4,0,20.52,340.66,0,1.64,3.28,0,0,4.93,0,0,0,1.64,3.28,66.49,0,0,5.75,0,0.82
 36-46,0,0,0,0,8.06,0,0,49.95,3.22,0,0,5.64,0.81,0,0,0.81,0.81,0,0,0.81,0,20.14,0.81,9.67,214.31,0,2.42,2.42,0,0,4.03,0,0,0.81,0.81,0,44.31,0,0,4.03,0,0
 48-58,0,0,0,0,1.72,0,0,61.97,0.57,0.57,1.72,17.79,0,0,0.57,0,0,0,0.57,0,0,32.71,1.15,8.03,142.3,0,1.72,1.15,0,0.57,1.72,0,0,0,0,0,27.54,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,0,0,57.91,0,0.98,0,18.65,0,0,0,0,0,0,0.98,0,0,19.63,0,0.98,76.56,0,0,1.96,0,0.98,0,0,0,0,0,0,16.69,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,2.94,0,0,58.9,0,0,2.94,12.76,0,0,0,0.98,0,0,0.98,0.98,0,46.14,1.96,2.94,84.42,0,0,0.98,0,0,1.96,0,0,0,0,0,5.89,0,0,1.96,0.98,0
 84-94,0,0,0,0,6.37,0,0,25.49,0,0,1.06,8.5,0,0,0,2.12,1.06,0,0,0,0,20.18,2.12,7.43,48.85,0,0,0,0,0,13.81,0,0,1.06,1.06,0,4.25,1.06,3.19,1.06,0,0
 96-106,0,0,0,0,9.84,3.28,0,29.51,1.09,1.09,0,12.02,1.09,0,0,5.46,0,0,1.09,3.28,0,29.51,0,3.28,46.99,1.09,2.19,2.19,0,0,4.37,0,0,0,1.09,0,2.19,1.09,0,1.09,0,1.09
108-118,0,0,0,0,6.89,0,0.77,24.51,2.3,1.53,0,11.49,0.77,0,0.77,0,1.53,0.77,0,0,0.77,26.04,0.77,6.89,70.47,0,0.77,2.3,0,0,4.6,0,0,1.53,1.53,0,2.3,0,0.77,1.53,0.77,1.53
120,0,0,0,0,11.76,0,0,11.76,0,1.96,1.96,13.72,0,0,0,5.88,0,0,1.96,0,0,21.56,0,7.84,60.75,0,0,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,1.96,0
