stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,10.51,0,0,0,0,5.26,0,0,0,0,0,0,73.6,2.63,0,0,31.54,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,50.35,3.15,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,3,6,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,6.57,0,0,0.82,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,4.83,0.81,4.03,0,0,0,0,0.81,0,0,0,0,0,0.81,15.31,0,0,0,0,0,0,0,0,0,4.03,0.81
 48-58,0,0,0,1.72,0,1.72,0,0,0,0,0,0,0,0,1.72,0,0.57,4.59,0,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,1.96,0,11.78,0,0,0,0,0,0,0,0,1.96,0,0,21.59,0,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,2.94,0,5.89,0,0,0,0,0,0,0.98,0,0.98,0.98,0,9.82,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,1.06,1.06,0,1.06,0,1.06,0,0,2.12,0,0,1.06,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,3.28,0,2.19,0,0,0,0,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
